,refrigerator,bowl,airplane,motorcycle,frisbee,couch,keyboard,fork,bench,toaster,sink,tennis racket,spoon,truck,carrot,laptop,hot dog,tv,cost,suitcase,mouse,elephant,clock,backpack,bear,orange,sports ball,bird,car,book,oven,banana,tie,kite,person,broccoli,dog,remote,microwave,baseball glove,cat,knife,teddy bear,skis,dining table,apple,baseball bat,stop sign,bus,donut,surfboard,cow,cake,wine glass,sandwich,parking meter,scissors,traffic light,horse,bicycle,fire hydrant,toothbrush,chair,giraffe,pizza,potted plant,umbrella,zebra,vase,toilet,cell phone,boat,handbag,bottle,sheep,cup,snowboard,bed,skateboard,train
model_164,0.741042,0.605442,0.80591,0.675282,0.807707,0.693292,0.572763,0.887127,0.650369,0.0,0.809858,0.834759,0.69641,0.512604,0.39288,0.854329,0.652237,0.790121,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_170,,,0.838777,0.705841,,,,,,0.0940533,0.780191,0.812386,,0.480566,0.397892,,,,405.0,0.565545,0.788476,0.797311,0.816684,0.415124,0.725915,0.605017,0.727058,0.550032,0.671273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_158,,,0.847004,0.705841,,,,,,,,,,,,0.858453,,,357.0,,,,,,,,0.737879,,,0.519882,0.373268,0.499897,0.719091,0.61884,0.740204,0.533442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_16,,,,,,,,,,,0.763235,,,,,0.741738,0.796744,,3962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_17,,,,,,,,,,,,,,,,,,,2506.0,,,,,,,,,,,,,,,,,,0.866925,0.607526,0.736743,0.763201,0.87098,0.608093,0.776121,0.628383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_159,,,0.80591,,,0.756318,,,0.701072,1.0,,,,,,0.858453,,,389.0,,0.779127,0.797311,,0.415124,,,0.737879,,,,,,,,,,,,,,,,,,0.689116,0.380041,0.636947,0.730173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_171,,,,,,,0.591592,,,,,,,,,,,,1221.0,,,,,0.415124,,,,,,,,,,,,,0.624608,0.311124,,,,,,,,,,,0.854455,0.846107,0.633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_165,,,,,,,,,,,,,,,,,,0.790565,373.0,,,,,,,,,,,,,,,0.63616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_198,0.851171,,,,,0.711457,,0.848522,,,,,,0.512604,,0.834821,,,357.0,0.565545,0.788476,,,,,0.610143,0.737879,0.534987,0.672319,0.510726,,,,,,0.533442,,0.311124,,0.563198,0.602168,0.428056,,,0.689116,,,,,,,0.648905,0.713228,0.537845,0.443279,1.0,0.0,0.64851,0.702984,0.777293,0.805357,,,,,,,,,,,,,,,,,,,
model_173,,0.619405,,,,,,,0.701072,,,,,,0.407429,,,,1237.0,,0.788476,,0.828365,0.415124,,,0.74398,,,,,,0.719091,,,,0.624608,,,,0.602168,,,0.341317,0.689116,,,0.727697,,,0.663691,,,0.537845,,,,,0.732686,,0.805357,0.0,0.592388,,,,,,,,,,,,,,,,,
model_167,0.851171,,0.847004,,,,,,,,0.809858,0.834759,,,0.407429,,,,661.0,,,,,,,,0.74398,,0.674391,,,,0.705286,,0.740204,,,0.340316,,,,,,0.315391,0.689116,,,,,,,,,,,,,,0.711553,,,0.0,,0.939942,0.796611,,,,,,,,,,,,,,,
model_29,,,,,,,,0.585058,,0.325856,,,,0.620231,,,0.796744,,2010.0,0.654446,,,0.776269,0.532385,,0.588877,,0.514793,0.715966,,,,,,,,,,,,0.885257,,,,,,,,0.793714,,0.80705,0.778194,,,,0.741071,,,,,0.852249,0.361389,,0.908422,0.712413,0.500979,0.598653,0.901438,0.493439,0.837031,0.533373,,,,,,,,,
model_15,,,,,,,,,,,,0.717782,0.391152,,,,0.723249,,5146.0,,,,,,,0.538778,,,,,,,,,,,,,,0.763201,,0.612104,0.787837,,,,,,,,,,,,,,,0.624234,,,,,,,,,,,,,,,,,,,,,,
model_14,,,,,0.747334,0.674291,,,,0.218733,0.753844,,,,,,,,3098.0,,,,0.738409,0.544725,,0.575728,,,,,,,,,,,,,,,,,,0.637151,,,,,0.767627,,0.840988,,,,0.474937,0.671117,0.400854,,,0.816912,0.852249,,,,0.705907,,,0.859174,,,,0.686462,0.491529,0.582136,0.618685,,,,,
model_28,,,,0.817654,,,0.678583,,,,,0.73375,0.382527,0.61473,,,0.783938,0.74138,970.0,0.64742,0.756297,,0.764494,,,,,,0.718435,,0.647738,0.495255,,,,,,0.597712,0.728117,0.778385,0.87098,,,,,,,,,0.756007,0.840988,0.786465,,,,,,,,,,0.349778,,0.908125,0.712413,,0.608834,0.906922,,0.815569,,0.672105,,0.581075,0.599694,,,,,
model_166,,,,,,,,,,,,,,,,,,,373.0,,,,,,,,,,,,,,0.686937,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805357,,,,,,,,,,,,,,,,,,,
model_172,,,,,,0.756318,,,,,,,,,,,,,421.0,,0.788476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.771016,,,0.84913,,,,0.598469,,,,,,,,
model_199,,,0.847004,,,,,,,,0.809858,,,,,,,,677.0,,,,,,0.725915,,0.737879,,,,,,,,,,,,,,0.602168,,,0.315391,,,,,,,,,,,,,0.0,,,,,,,,,,0.524235,,,,,,,,0.573827,,,,,
model_189,,,,,,,0.633228,0.887127,,,,0.825125,0.69641,,,,,0.809201,421.0,,,0.797311,,,,,0.74398,,,,0.373268,0.499897,0.719091,,0.740703,,,0.340316,,,,,1.0,,,,,,,,0.633272,,,,0.52059,1.0,,,0.732686,,,,,,,,0.524235,,,0.766379,,,,0.485107,,0.636182,0.348271,,,
model_176,,0.608633,,0.705841,,0.756318,,0.887127,,,,,,,0.407429,,,,373.0,0.565545,,,,,,0.619431,,,0.672266,,,,,,0.739848,0.533442,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.584919,,0.844721,,,,,,0.485107,,0.636182,,,,
