,remote,sandwich,motorcycle,horse,suitcase,umbrella,frisbee,tie,bottle,skis,dog,cat,fork,broccoli,cell phone,airplane,teddy bear,toothbrush,elephant,handbag,cost,car,truck,orange,giraffe,mouse,fire hydrant,snowboard,kite,person,baseball bat,chair,bed,skateboard,tv,knife,wine glass,laptop,sink,bear,book,bus,oven,microwave,bowl,cup,parking meter,bench,banana,zebra,toilet,couch,bird,cake,baseball glove,bicycle,spoon,clock,traffic light,tennis racket,refrigerator,carrot,vase,sports ball,dining table,keyboard,toaster,train,stop sign,pizza,apple,cow,backpack,potted plant,surfboard,scissors,boat,hot dog,sheep,donut
model_164,0.340316,0.52059,0.675282,0.66357,0.546233,0.482105,0.807707,0.719091,0.476819,0.315391,0.602467,0.573906,0.887127,0.513685,0.499692,0.80591,1.0,0.0,0.757064,0.373215,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_170,0.340316,,,,,,,,,,,,,0.51425,,0.838777,,0.0,,,36.8,0.671273,0.480566,0.605017,0.897896,0.788476,0.731679,0.348271,0.622027,0.737704,0.676124,0.592388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_158,0.340316,,,,,,,0.719091,,,,0.535863,,,0.499692,0.847004,0.912612,,,0.459078,36.8,,0.512604,,,0.788476,,,,,,,0.597356,0.734181,0.809201,0.499312,0.537845,0.858453,0.809858,0.657567,0.519882,0.876365,0.373268,0.517882,0.619405,0.636182,1.0,0.701072,0.499897,0.834042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_16,,,,,,,,,,,,,,,,,0.77147,,,,110.4,0.717614,,,,,,,,,0.69954,,,,,,,,,,,,,,,,,,,,0.840454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_17,,,,,,,,0.652705,0.587532,,,,,,0.545777,,,,,0.521875,110.4,,,,,,,0.594375,,,,,,,0.74138,,,,,,0.463665,,0.626379,,,,,,,,,0.681076,0.525551,0.778195,0.763201,,,,,,,,,,,,,,,,,,,,,,,,,
model_159,,,,0.724502,0.565545,0.524235,0.8385,,,,,,,,,,,,,,36.8,,0.512604,,,,,,0.63616,0.740827,,,0.597356,,0.809201,,0.537845,,,,,,,,0.619405,,,,,0.846818,,,0.550032,0.748836,,0.777293,0.564273,,,,,,,,,,,,,,,,,,,,,,,
model_171,,,,,,,,,,,,,,,,,,0.0,,,36.8,,0.480566,,,,,,,,0.614658,,,,,,,,,0.657567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_165,,0.52059,,,0.565545,0.482105,,,,0.341317,,,,0.533442,,,1.0,0.0,0.797311,0.459078,36.8,,,0.619431,0.939942,0.756477,0.766752,0.442524,,,0.676124,,0.597356,0.734181,,0.499312,,,,0.725915,,,,0.517882,,,1.0,0.701072,,,,,,,,,0.69641,0.825875,0.64851,0.834759,0.824972,0.374487,0.583097,0.727058,0.689116,0.633228,0.370213,0.568225,,,,,,,,,,,,
model_198,,,,,,,0.8385,,,,,,,,0.521404,0.847004,,,,0.411707,36.8,0.672319,,,,0.788476,,,,,,,,,,,0.537845,,,0.601003,,,,,0.608633,,1.0,,,,,,0.534987,,,,,,,,,,,0.737879,0.689116,,,,0.663793,0.789631,,,,,,,,,,
model_173,,,,,,,,,,,,,,,0.521404,,,,0.776666,,36.8,0.672266,,0.608941,0.939942,,,0.442524,,0.739848,,,,,,,,,,,,,,,,,,,0.499897,0.84913,0.766379,,0.550032,0.748836,,,,,,,0.741042,,0.596177,,,,,,,,0.419945,,,,,,,,,
model_167,,0.52059,,,,,,,0.489154,,,,,,,,,,,,36.8,,,,,,,,,,,,,,0.794051,,0.537845,,,,0.519882,0.880072,,,,0.633471,,,,,,0.756318,,,,,,,,,,,,,,,,0.546769,,,,0.661813,0.415124,,,,,,,
model_29,,,,,0.654446,0.598653,,,,,,,,,,,,,,,110.4,,,,,,0.852249,,,,,,0.70103,,,,,,,,0.456112,0.793714,0.670606,,,,0.741071,,,,,0.654903,,,0.74321,,,0.776269,,,0.719116,,,,0.602459,,,,,,,0.778194,,0.500979,0.80705,,,,,
model_15,,,,,,,,,,,,0.859315,,,,,,,,,110.4,,,,,,,0.645551,,,,,,,,,0.568795,,,,,,,,,,,,0.488534,,,,,,,,,,0.624234,,,,,,0.596065,,,,,,,,,,,,,,,
model_14,,,,,0.643364,,,,,0.637151,,,0.571678,,,,,,,0.491529,110.4,0.716783,0.60787,,,,,,,,0.719183,,0.729296,,0.729422,0.593555,,,0.753844,0.737552,,0.767627,0.574468,0.64203,,,,,0.488837,,,,,,0.763201,,,,,,,,,,,,,,0.714974,,,0.767678,,,,0.400854,0.686462,,,
model_28,,,,,,0.608834,,,0.581075,,,,,0.493271,0.519977,,0.792245,0.349778,,,110.4,,,,,,0.827788,,,,,,,,,,,0.713042,,,0.45563,0.771396,,,,,,,,,,,,,0.778385,,,,,,,,,,,,,,0.714974,,,,,,,,,,,
model_166,,,,0.732686,,,,,,,,,,0.523106,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766379,,,,,,,,,,,,,,,,,,,,0.380041,,,,,,,,,
model_172,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,0.428056,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578037,,,,,,,,,,,,,,,,,
model_199,,,,,,,,,,,,0.602168,,,,,1.0,,,,36.8,,,,,,0.805357,,,,,,,,,,,,,0.725915,,,,,0.619405,,,,,,,,,0.748836,,,,,,,,,,,,,,,,,,,,,,,,0.710219,,
model_189,,,,,,,,,,,,,,,,,1.0,,,0.459078,36.8,,,0.619431,,,,,,,,,,,,,,,,,,,,,0.619405,,,,,,0.766379,,,,,,,,0.64851,0.825125,,,,,,,,,,,,,,0.584919,,0.0,,,,
