,query_index,qgetSelectivityuery,#predicate,mdist,qdist,constraint,bound,approach,selected_model,pareto_model,#pareto,non_pareto_model,#non_pareto,pareto_ratio,accuracy,cost,optimization_time,data_process_time,query
0,1,,2,uniform,uniform,cost,100.0,optimizer,person.model_41|book.model_138,person.model_41|book.model_138,2,,0,1.0,0.8740000000000003,87.0,0.0234,0.0022,book | person
1,1,,2,uniform,uniform,cost,50.0,optimizer,person.model_69|book.model_69,,0,person.model_69|book.model_69,2,0.0,0.8413999999999999,38.999999999999964,0.0193,0.0024,book | person
2,1,,2,uniform,uniform,cost,150.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761000000000001,110.0,0.0235,0.002,book | person
3,1,,2,uniform,uniform,cost,150.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761000000000001,110.0,0.0182,0.0022,book | person
4,1,,2,uniform,uniform,cost,50.0,optimizer,person.model_69|book.model_69,,0,person.model_69|book.model_69,2,0.0,0.8413999999999999,38.999999999999964,0.0176,0.002,book | person
5,1,,2,uniform,uniform,cost,100.0,optimizer,person.model_41|book.model_138,person.model_41|book.model_138,2,,0,1.0,0.8740000000000001,87.0,0.0242,0.0023,book | person
6,0,,4,uniform,uniform,cost,100.0,optimizer,skis.model_30|wine_glass.model_82|baseball_bat.model_82|refrigerator.model_82,skis.model_30,1,wine_glass.model_82|baseball_bat.model_82|refrigerator.model_82,3,0.25,0.74110656,85.0,0.0681,0.0027,(baseball_bat & skis & refrigerator) | wine_glass
7,0,,4,uniform,uniform,cost,50.0,optimizer,wine_glass.model_90|refrigerator.model_90|baseball_bat.model_90|skis.model_90,baseball_bat.model_90,1,wine_glass.model_90|refrigerator.model_90|skis.model_90,3,0.25,0.7161424000000091,43.0,0.0348,0.0028,(baseball_bat & skis & refrigerator) | wine_glass
8,0,,4,uniform,uniform,cost,150.0,optimizer,refrigerator.model_34|wine_glass.model_41|skis.model_66|baseball_bat.model_66,wine_glass.model_41|skis.model_66,2,refrigerator.model_34|baseball_bat.model_66,2,0.5,0.7576422400000001,150.0,0.0654,0.0028,(baseball_bat & skis & refrigerator) | wine_glass
9,0,,4,uniform,uniform,cost,150.0,optimizer,wine_glass.model_41|refrigerator.model_105|baseball_bat.model_66|skis.model_66,wine_glass.model_41|refrigerator.model_105|skis.model_66,3,baseball_bat.model_66,1,0.75,0.75764224,146.0,0.0536,0.0025,(baseball_bat & skis & refrigerator) | wine_glass
10,0,,4,uniform,uniform,cost,50.0,optimizer,wine_glass.model_90|skis.model_90|baseball_bat.model_90|refrigerator.model_90,baseball_bat.model_90,1,wine_glass.model_90|skis.model_90|refrigerator.model_90,3,0.25,0.7161424000000096,43.0,0.0344,0.0022,(baseball_bat & skis & refrigerator) | wine_glass
11,0,,4,uniform,uniform,cost,100.0,optimizer,skis.model_30|refrigerator.model_82|baseball_bat.model_82|wine_glass.model_82,skis.model_30,1,refrigerator.model_82|baseball_bat.model_82|wine_glass.model_82,3,0.25,0.74110656,85.0,0.0663,0.0022,(baseball_bat & skis & refrigerator) | wine_glass
12,7,,4,uniform,uniform,cost,100.0,optimizer,bowl.model_133|bird.model_133|book.model_133|traffic_light.model_38,bowl.model_133|bird.model_133|traffic_light.model_38,3,book.model_133,1,0.75,0.8804604000000001,71.0,0.0522,0.0019,(book & bird) | traffic_light | bowl
13,7,,4,uniform,uniform,cost,50.0,optimizer,bowl.model_140|bird.model_140|book.model_140|traffic_light.model_140,bowl.model_140|bird.model_140|book.model_140,3,traffic_light.model_140,1,0.75,0.8676460000000004,29.0,0.0315,0.002,(book & bird) | traffic_light | bowl
14,7,,4,uniform,uniform,cost,150.0,optimizer,bird.model_133|traffic_light.model_38|book.model_78|bowl.model_78,bird.model_133|traffic_light.model_38,2,book.model_78|bowl.model_78,2,0.5,0.8841604000000001,140.0,0.0517,0.0025,(book & bird) | traffic_light | bowl
15,7,,4,uniform,uniform,cost,150.0,optimizer,bird.model_133|traffic_light.model_38|book.model_78|bowl.model_78,bird.model_133|traffic_light.model_38,2,book.model_78|bowl.model_78,2,0.5,0.8841604000000001,140.0,0.0575,0.002,(book & bird) | traffic_light | bowl
16,7,,4,uniform,uniform,cost,50.0,optimizer,bird.model_140|bowl.model_140|traffic_light.model_140|book.model_140,bird.model_140|bowl.model_140|book.model_140,3,traffic_light.model_140,1,0.75,0.8676460000000004,29.0,0.0324,0.0019,(book & bird) | traffic_light | bowl
17,7,,4,uniform,uniform,cost,100.0,optimizer,bowl.model_133|book.model_133|bird.model_133|traffic_light.model_38,bowl.model_133|bird.model_133|traffic_light.model_38,3,book.model_133,1,0.75,0.8804603999999999,71.0,0.0487,0.0022,(book & bird) | traffic_light | bowl
18,6,,4,uniform,uniform,cost,100.0,optimizer,bus.model_41|person.model_41|cell_phone.model_41|bottle.model_33,person.model_41|cell_phone.model_41|bottle.model_33,3,bus.model_41,1,0.75,0.9411568,82.0,0.0525,0.0019,bus & person | cell_phone | bottle
