,query_index,qgetSelectivityuery,#predicate,mdist,qdist,constraint,bound,approach,selected_model,pareto_model,#pareto,non_pareto_model,#non_pareto,pareto_ratio,accuracy,cost,optimization_time,data_process_time,query
0,1,,2,uniform,uniform,cost,150.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761,110.0,0.0306,0.0042,book | person
1,1,,2,uniform,uniform,cost,50.0,optimizer,book.model_69|person.model_69,,0,book.model_69|person.model_69,2,0.0,0.8413999999999999,39.0,0.0454,0.0046,book | person
2,1,,2,uniform,uniform,cost,100.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761000000000001,91.7488,0.0299,0.004,book | person
3,1,,2,uniform,uniform,cost,150.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761000000000001,91.74879999999992,0.0298,0.0037,book | person
4,1,,2,uniform,uniform,cost,150.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761000000000001,91.74879999999992,0.0309,0.004,book | person
5,1,,2,uniform,uniform,cost,50.0,optimizer,person.model_69|book.model_69,,0,person.model_69|book.model_69,2,0.0,0.8413999999999999,39.0,0.0492,0.0035,book | person
6,1,,2,uniform,uniform,cost,100.0,optimizer,person.model_41|book.model_82,person.model_41|book.model_82,2,,0,1.0,0.8761000000000001,91.74879999999969,0.0297,0.0036,book | person
7,0,,4,uniform,uniform,cost,150.0,optimizer,refrigerator.model_72|wine_glass.model_41|skis.model_66|baseball_bat.model_89,refrigerator.model_72|wine_glass.model_41|skis.model_66|baseball_bat.model_89,4,,0,1.0,0.77986,113.92539264385988,0.0868,0.0053,(baseball_bat & skis & refrigerator) | wine_glass
8,0,,4,uniform,uniform,cost,50.0,optimizer,refrigerator.model_72|wine_glass.model_41|baseball_bat.model_41|skis.model_66,refrigerator.model_72|wine_glass.model_41|skis.model_66,3,baseball_bat.model_41,1,0.75,0.7612120000000013,49.320884000000284,0.4678,0.0048,(baseball_bat & skis & refrigerator) | wine_glass
9,0,,4,uniform,uniform,cost,100.0,optimizer,refrigerator.model_72|wine_glass.model_41|baseball_bat.model_89|skis.model_58,refrigerator.model_72|wine_glass.model_41|baseball_bat.model_89,3,skis.model_58,1,0.75,0.7779699999999999,98.06929255436664,0.3473,0.0046,(baseball_bat & skis & refrigerator) | wine_glass
10,0,,4,uniform,uniform,cost,150.0,optimizer,refrigerator.model_72|wine_glass.model_41|skis.model_66|baseball_bat.model_89,refrigerator.model_72|wine_glass.model_41|skis.model_66|baseball_bat.model_89,4,,0,1.0,0.77986,114.5578656367612,0.1533,0.0054,(baseball_bat & skis & refrigerator) | wine_glass
