,banana,orange,person,dog,apple,cat
model_1,0.43,,,,,
model_2,0.05,,,,,
model_3,0.01,,,,,
model_19,0.15,,,,,
model_20,0.13,,,,,
model_21,0.08,,,,,
model_22,0.07,,,,,
model_23,0.03,,,,,
model_4,,0.02,,,,
model_5,,0.04,,,,
model_6,,0.22,,,,
model_24,,0.03,,,,
model_25,,0.04,,,,
model_26,,0.04,,,,
model_27,,0.06,,,,
model_28,,0.17,,,,
model_7,,,0.89,,,
model_8,,,0.41,,,
model_9,,,0.28,,,
model_10,,,,0.05,,
model_11,,,,0.13,,
model_12,,,,0.46,,
model_29,,,,0.34,,
model_30,,,,0.29,,
model_31,,,,0.2,,
model_32,,,,0.17,,
model_33,,,,0.12,,
model_34,,,,0.05,,
model_13,,,,,0.6,
model_14,,,,,0.08,
model_15,,,,,0.04,
model_41,,,,,0.25,
model_42,,,,,0.23,
model_43,,,,,0.19,
model_44,,,,,0.16,
model_45,,,,,0.07,
model_16,,,,,,0.02
model_17,,,,,,0.04
model_18,,,,,,0.47
model_35,,,,,,0.02
model_36,,,,,,0.04
model_37,,,,,,0.05
model_38,,,,,,0.06
model_39,,,,,,0.08
model_40,,,,,,0.09
