,class,selectivity
0,potted_plant,0.0093
1,tv,0.0078
2,chair,0.0487
3,person,0.2992
4,microwave,0.0015
5,refrigerator,0.0034
6,book,0.0316
7,clock,0.0073
8,vase,0.0075
9,dining_table,0.019
10,bear,0.0019
11,bed,0.0044
12,stop_sign,0.002
13,truck,0.0113
14,car,0.0525
15,teddy_bear,0.0052
16,skis,0.0066
17,oven,0.0039
18,sports_ball,0.0072
19,baseball_glove,0.004
20,tennis_racket,0.0061
21,handbag,0.0147
22,backpack,0.0101
23,bird,0.012
24,boat,0.0117
25,cell_phone,0.0071
26,train,0.0052
27,sandwich,0.0048
28,bowl,0.017
29,surfboard,0.0073
30,laptop,0.0063
31,mouse,0.0029
32,keyboard,0.0042
33,bus,0.0077
34,cat,0.0055
35,airplane,0.0039
36,zebra,0.0073
37,tie,0.0069
38,traffic_light,0.0173
39,apple,0.0065
40,baseball_bat,0.004
41,knife,0.0089
42,cake,0.0086
43,wine_glass,0.0093
44,cup,0.0244
45,spoon,0.0069
46,banana,0.0103
47,donut,0.0092
48,bottle,0.0279
49,sink,0.0061
50,toilet,0.0049
51,broccoli,0.0086
52,skateboard,0.0049
53,fork,0.0058
54,carrot,0.0101
55,couch,0.0071
56,remote,0.0077
57,scissors,0.001
58,bicycle,0.0086
59,sheep,0.0098
60,bench,0.0112
61,orange,0.0078
62,elephant,0.0069
63,frisbee,0.0031
64,umbrella,0.0112
65,horse,0.0074
66,dog,0.0059
67,motorcycle,0.0101
68,kite,0.0091
69,pizza,0.0077
70,fire_hydrant,0.0027
71,suitcase,0.0082
72,hot_dog,0.0035
73,cow,0.0103
74,giraffe,0.0063
75,snowboard,0.0019
76,parking_meter,0.0016
77,toothbrush,0.0015
78,toaster,0.0002
79,hair_drier,0.0003
