,T0,T2,T4,T3,T1,T5,T6,T9,T7,T8,T10,T11,T12,T13,T14,T15,T16,T17,T19,T18,T20,T24,T21,T23,T22,T25,T29,T28,T27,T26,T30,T33,T31,T34,T32,T35,T37,T36,T38,T39
M152,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M146,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M132,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M109,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M54,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M99,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M181,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M185,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M179,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M156,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M117,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M72,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M195,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M44,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M154,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M143,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M144,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M325,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M334,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M377,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M237,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M279,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M349,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M326,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
