,T0,T1,T2,T3,T5,T4,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
M2,1.0,1.0,,,,,,,,,,,,,,,,,,
M4,1.0,,,,,,,,,,,,,,,,,,,
M58,1.0,,,,,,,,,,,,,,,,,,,
M82,1.0,,,,,,,,,,,,,,,,,,,
M64,1.0,,,,,,,,,,,,,,,,,,,
M87,1.0,,,,,,,,,,,,,,,,,,,
M78,,1.0,,,,,,,,,,,,,,,,,,
M48,,1.0,1.0,,,,,,,,,,,,,,,,,
M61,,1.0,,,,,,,,,,,,,,,,,,
M39,,1.0,,,,,,,,,,,,,,,,,,
M77,,1.0,,,,,,,,,,,,,,,,,,
M6,,1.0,,,,,,,,,,,,,,,,,,
M27,,1.0,,,,,,,,,,,,,,,,,,
M69,,1.0,1.0,,,,,,,,,,,,,,,,,
M68,,1.0,,,,,,,,,,,,,,,,,,
M21,,,1.0,,,,,,,,,,,,,,,,,
M8,,,1.0,,,,,,,,,,,,,,,,,
M79,,,1.0,,,,,,,,,,,,,,,,,
M26,,,1.0,,,,,,,,,,,,,,,,,
M54,,,1.0,,,,,,,,,,,,,,,,,
M120,,,,1.0,1.0,,,,,,,,,,,,,,,
M173,,,,,1.0,,,,,,,,,,,,,,,
M139,,,,,1.0,,,,,,,,,,,,,,,
M100,,,,,1.0,,,,,,,,,,,,,,,
M164,,,,,1.0,,,,,,,,,,,,,,,
M102,,,,,1.0,,,,,,,,,,,,,,,
M172,,,,,1.0,,,,,,,,,,,,,,,
M180,,,,,,1.0,,,,,,,,,,,,,,
M156,,,,,,1.0,,,,,,,,,,,,,,
M127,,,,,,1.0,,,,,,,,,,,,,,
M142,,,,,,1.0,,,,,,,,,,,,,,
M177,,,,,,1.0,,,,,,,,,,,,,,
M182,,,,,,1.0,,,,,,,,,,,,,,
M174,,,,,,1.0,,,,,,,,,,,,,,
M107,,,,,,1.0,,,,,,,,,,,,,,
M214,,,,,,,1.0,,,,,,,,,,,,,
M210,,,,,,,1.0,,,,,,,,,,,,,
M229,,,,,,,1.0,,,,,,,,,,,,,
M234,,,,,,,1.0,,,,,,,,,,,,,
M219,,,,,,,1.0,,,,,,,,,,,,,
M245,,,,,,,1.0,,,,,,,,,,,,,
M216,,,,,,,1.0,,,,,,,,,,,,,
M242,,,,,,,1.0,,,,,,,,,,,,,
M239,,,,,,,1.0,,,,,,,,,,,,,
M230,,,,,,,,1.0,,,,,,,,,,,,
M266,,,,,,,,1.0,1.0,,,,,,,,,,,
M286,,,,,,,,1.0,,,,,,,,,,,,
M291,,,,,,,,1.0,,,,,,,,,,,,
M237,,,,,,,,1.0,,,,,,,,,,,,
M201,,,,,,,,1.0,,,,,,,,,,,,
M223,,,,,,,,,1.0,,,,,,,,,,,
M380,,,,,,,,,,1.0,,,,,,,,,,
M316,,,,,,,,,,1.0,,,,,,,,,,
M359,,,,,,,,,,1.0,,,,,,,,,,
M343,,,,,,,,,,1.0,,,,,,,,,,
M366,,,,,,,,,,1.0,,,,,,,,,,
M333,,,,,,,,,,,1.0,,,,,,,,,
M365,,,,,,,,,,,,1.0,,,,,,,,
M330,,,,,,,,,,,,1.0,,,,,,,,
M475,,,,,,,,,,,,,1.0,,,,,,,
M451,,,,,,,,,,,,,1.0,,,,,,,
M462,,,,,,,,,,,,,1.0,,,,,,,
M487,,,,,,,,,,,,,1.0,,,,,,,
M491,,,,,,,,,,,,,1.0,,,,,,,
M407,,,,,,,,,,,,,,1.0,,,,,,
M433,,,,,,,,,,,,,,1.0,,,,,,
M443,,,,,,,,,,,,,,1.0,,,,,,
M457,,,,,,,,,,,,,,1.0,,,,,,
M496,,,,,,,,,,,,,,1.0,,,,,,
M494,,,,,,,,,,,,,,1.0,,,,,,
M401,,,,,,,,,,,,,,1.0,,,,,,
M577,,,,,,,,,,,,,,,1.0,,,,,
M591,,,,,,,,,,,,,,,1.0,,,,,
M576,,,,,,,,,,,,,,,1.0,,,,,
M520,,,,,,,,,,,,,,,1.0,,,,,
M582,,,,,,,,,,,,,,,1.0,,,,,
M585,,,,,,,,,,,,,,,1.0,,,,,
M544,,,,,,,,,,,,,,,,1.0,,,,
M573,,,,,,,,,,,,,,,,1.0,,,,
M656,,,,,,,,,,,,,,,,,1.0,,,
M625,,,,,,,,,,,,,,,,,1.0,,,
M696,,,,,,,,,,,,,,,,,1.0,,,
M630,,,,,,,,,,,,,,,,,1.0,,,
M669,,,,,,,,,,,,,,,,,1.0,,,
M660,,,,,,,,,,,,,,,,,1.0,,,
M677,,,,,,,,,,,,,,,,,1.0,,,
M640,,,,,,,,,,,,,,,,,,1.0,,
M645,,,,,,,,,,,,,,,,,,1.0,,
M680,,,,,,,,,,,,,,,,,,1.0,,
M702,,,,,,,,,,,,,,,,,,,1.0,
M738,,,,,,,,,,,,,,,,,,,1.0,
M792,,,,,,,,,,,,,,,,,,,1.0,
M776,,,,,,,,,,,,,,,,,,,,1.0
M749,,,,,,,,,,,,,,,,,,,,1.0
M733,,,,,,,,,,,,,,,,,,,,1.0
M752,,,,,,,,,,,,,,,,,,,,1.0
M786,,,,,,,,,,,,,,,,,,,,1.0
M51,,,,,,,,,,,,,,,,,,,,
M31,,,,,,,,,,,,,,,,,,,,
M28,,,,,,,,,,,,,,,,,,,,
M88,,,,,,,,,,,,,,,,,,,,
M65,,,,,,,,,,,,,,,,,,,,
M52,,,,,,,,,,,,,,,,,,,,
M56,,,,,,,,,,,,,,,,,,,,
M99,,,,,,,,,,,,,,,,,,,,
M30,,,,,,,,,,,,,,,,,,,,
M29,,,,,,,,,,,,,,,,,,,,
M92,,,,,,,,,,,,,,,,,,,,
M38,,,,,,,,,,,,,,,,,,,,
M43,,,,,,,,,,,,,,,,,,,,
M47,,,,,,,,,,,,,,,,,,,,
M80,,,,,,,,,,,,,,,,,,,,
M94,,,,,,,,,,,,,,,,,,,,
M25,,,,,,,,,,,,,,,,,,,,
M7,,,,,,,,,,,,,,,,,,,,
M60,,,,,,,,,,,,,,,,,,,,
M89,,,,,,,,,,,,,,,,,,,,
M95,,,,,,,,,,,,,,,,,,,,
M55,,,,,,,,,,,,,,,,,,,,
M93,,,,,,,,,,,,,,,,,,,,
M35,,,,,,,,,,,,,,,,,,,,
M15,,,,,,,,,,,,,,,,,,,,
M44,,,,,,,,,,,,,,,,,,,,
M32,,,,,,,,,,,,,,,,,,,,
M46,,,,,,,,,,,,,,,,,,,,
M18,,,,,,,,,,,,,,,,,,,,
M86,,,,,,,,,,,,,,,,,,,,
M53,,,,,,,,,,,,,,,,,,,,
M9,,,,,,,,,,,,,,,,,,,,
M19,,,,,,,,,,,,,,,,,,,,
M81,,,,,,,,,,,,,,,,,,,,
M5,,,,,,,,,,,,,,,,,,,,
M76,,,,,,,,,,,,,,,,,,,,
M33,,,,,,,,,,,,,,,,,,,,
M63,,,,,,,,,,,,,,,,,,,,
M13,,,,,,,,,,,,,,,,,,,,
M97,,,,,,,,,,,,,,,,,,,,
M90,,,,,,,,,,,,,,,,,,,,
