,T0,T1,T2,T3,T5,T4,T6,T8,T7,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,cost
M1,0.9522958242275052,,,,,,,,,,,,,,,,,,,,87.10749946424066
M15,,0.8204943546097648,0.834018848993354,,,,,,,,,,,,,,,,,,64.62498662534304
M12,,0.9467059753239675,,,,,,,,,,,,,,,,,,,61.910944796546794
M17,,0.8093047599331812,,,,,,,,,,,,,,,,,,,15.099410670711135
M5,,0.8043891527847864,,,,,,,,,,,,,,,,,,,30.88654784282122
M8,,0.8366324665230578,,,,,,,,,,,,,,,,,,,40.26234273421631
M2,,0.7545001740735382,0.7561295090261452,,,,,,,,,,,,,,,,,,19.138790326370106
M18,,0.7567223510285657,,,,,,,,,,,,,,,,,,,5.445954301672552
M14,,0.8172721677767039,0.9451177747147737,,,,,,,,,,,,,,,,,,62.28261877444995
M7,,0.9600839526642582,,,,,,,,,,,,,,,,,,,70.80653300008626
M21,,0.767848279633977,0.9604104656247681,,,,,,,,,,,,,,,,,,57.37201326156954
M24,,0.9035925967682444,,,,,,,,,,,,,,,,,,,94.62046387303552
M3,,0.9536877885982137,,,,,,,,,,,,,,,,,,,94.59723956528364
M13,,0.9734115852991684,,,,,,,,,,,,,,,,,,,78.1573958417682
M9,,0.7926236094385347,0.9676698113095712,,,,,,,,,,,,,,,,,,97.57029295985396
M20,,0.8616030858612682,,,,,,,,,,,,,,,,,,,8.07703402648253
M10,,0.7748422560351437,,,,,,,,,,,,,,,,,,,77.3643350658174
M16,,0.9289018734340486,0.8376460725534095,,,,,,,,,,,,,,,,,,51.88716316744841
M23,,0.829469218942591,,,,,,,,,,,,,,,,,,,56.00384330125702
M0,,,0.9667216441307134,,,,,,,,,,,,,,,,,,73.92811455734457
M49,,,,0.9200989361291356,0.9216859231705845,,,,,,,,,,,,,,,,26.08449942893958
M42,,,,0.7499213963870013,0.7369588778667051,0.8991819709953861,,,,,,,,,,,,,,,34.25315466095489
M35,,,,0.7015426867771254,0.9236699639816007,,,,,,,,,,,,,,,,46.555527393958016
M32,,,,0.9248576843255095,0.9084084660347763,0.7605694046227756,,,,,,,,,,,,,,,69.60360295817063
M25,,,,0.8571743452461917,0.8363121423253099,,,,,,,,,,,,,,,,95.83563614475928
M48,,,,0.7644992557031217,0.721060195752552,,,,,,,,,,,,,,,,85.43494460944217
M40,,,,0.773136722487751,0.8648210054596615,,,,,,,,,,,,,,,,45.926671589560314
M37,,,,,0.798260257167275,0.9794358425436925,,,,,,,,,,,,,,,67.26192884076103
M38,,,,,0.7558881033311051,,,,,,,,,,,,,,,,58.230995400033024
M41,,,,,0.7709924826404163,,,,,,,,,,,,,,,,20.2806710592185
M27,,,,,0.7722389707586483,,,,,,,,,,,,,,,,58.410549929116975
M31,,,,,0.9538672862128564,,,,,,,,,,,,,,,,86.42586115704484
M26,,,,,0.9471420413462537,,,,,,,,,,,,,,,,71.70858501382398
M46,,,,,0.7554741200140939,,,,,,,,,,,,,,,,19.51346164518894
