,T0,T1,T3,T4,T2,T5,T6,T8,T9,T7,T10,T11,T13,T14,T12,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T27,T29,T28,T26,T30,T34,T31,T33,T32,T35,T36,T37,T39,T38,cost
M9,0.9688693493049398,0.7636650767547565,0.9599548665826977,0.8370653209896342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.16910579073554
M15,0.8780062078319353,,0.7095624636469461,0.7597446036124914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.261140123478697
M12,0.7111841163548106,,0.896891158851756,0.8899521058299125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.490878050006327
M8,0.9003179452515445,,0.874235027712964,0.7003304618088855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.83193533050211
M13,0.8431088069038888,,0.9108275857460942,0.72068616433634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.36348393314322
M4,0.7238434687645535,0.9775304993415849,0.892550626058332,0.8020792577923453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.98557207781568
M3,0.7626985725327722,,0.7855413706978249,0.7232187577792604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.431644885735476
M11,0.8047686181591761,0.8884035594159078,0.7340390040005594,0.7448185764750519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.85263591207607
M0,0.9774134426950764,0.8073880552511783,0.9609177401239547,0.9250279051019243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.30946938289702
M21,0.8101811993213692,,0.9612648343862931,0.7155210849879616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21908678833
M19,,0.8473743199147741,0.9562842871470929,0.8684705556381178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.43271453293947
M20,,0.882147574035262,0.923968050230469,0.7651080389031543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.339740893792808
M7,,0.8233083353593331,0.7653903408146332,0.7641402610207291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.75157176296294
M1,,0.9729136323565898,0.823495181757746,0.7141477532119551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.15549584698476
M24,,,,,0.8935444726733864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.605566969184153
M17,,,0.8572718023211656,0.961673230666305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.110651336610886
M5,,,0.9351394010477276,0.8105889312792337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05120920673362
M6,,,0.7903849459166593,0.9423381084478415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.295396619540156
M18,,,0.9022772975888054,0.7727444041592983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70171721593348
M2,,,0.798191675324663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.12786471088161
M16,,,0.8821213138494111,0.7006815402001685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.17503860018445
M14,,,0.7690363880037432,0.857895067575434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.07384074001827
M10,,,0.9346547509720661,0.9155742857376455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.73700133326196
M22,,,0.9103036227537108,0.9591116954403466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.96914328045773
M23,,,,0.9666158958668627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.42585109854306
M32,,,,,,0.8769503529944579,0.9539679404576809,0.8096042533142956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.05968443911092
M48,,,,,,0.733012753058095,0.9659011114269809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.01753340906785
M47,,,,,,0.7726924150853853,0.8728949953373749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4846526669544
M36,,,,,,0.7512204822261268,,0.7307651137602181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.43455369252645
M40,,,,,,0.7269062892195559,0.9729623455985243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.43663149152167
M45,,,,,,0.818259795095153,0.8645432783008361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.58969868672214
M38,,,,,,0.9211675178856619,,0.7543778831712221,0.9234150904484634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.20409353198886
M42,,,,,,0.7765982464601023,,0.7485023012471104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2663581684446
M27,,,,,,0.7739989165540951,,,0.7276970676590776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17463923856092
M31,,,,,,0.8005726600079022,0.7428973174418406,,0.7496564178652143,0.8773401893479913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.60093495010064
M46,,,,,,,0.7229699076573388,0.7737436089863696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.55835752192138
M44,,,,,,,0.9248528945505367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.23990679105003
M41,,,,,,,0.735883051629469,0.8935264237851674,0.8259209477006747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.917276918067
M35,,,,,,,0.794581208972131,0.7261256578464494,0.8204360174414655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.20536660364083
M28,,,,,,,0.7567278755706629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.37022547311701
M26,,,,,,,0.8237903206148478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2456174391105
M34,,,,,,,0.7398083574350333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.444485260658325
M25,,,,,,,0.9454552852965802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.519789681718976
M33,,,,,,,0.9031651663031133,0.9418521940964215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.562162772260262
M39,,,,,,,0.9193582523045694,0.8554644131015383,0.8211309994846061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.60595437016248
M37,,,,,,,0.7718769113860843,0.9270920172894446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5582385154176
M43,,,,,,,0.8228689954043265,,0.7360882410666538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.436324632760677
M49,,,,,,,0.7426882630839983,,0.8940882106821813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2211668027083
M29,,,,,,,0.965586256781605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.94817879111072
M68,,,,,,,,,,,0.7880798050141247,0.895154757809128,0.8137267717732201,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7508649953274
M66,,,,,,,,,,,0.9036878176837428,0.9351206364945613,0.8333144191259191,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65864678081934
M50,,,,,,,,,,,0.7364724578543247,,0.7488901419861953,0.7645627101958379,,,,,,,,,,,,,,,,,,,,,,,,,,,74.13630296270235
M70,,,,,,,,,,,0.9767911217529227,,0.7440446798079419,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76253153169282
M59,,,,,,,,,,,0.7566586468558879,,0.8955148637887321,,0.8814820035445071,,,,,,,,,,,,,,,,,,,,,,,,,,85.09165021078013
M58,,,,,,,,,,,0.891366301849537,0.8459581951599129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.06859159528781
M55,,,,,,,,,,,0.8983342015182211,,0.7415274942153145,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.70899255371047
M56,,,,,,,,,,,0.8636113121251099,,0.8341449293133757,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01934249398961
M54,,,,,,,,,,,0.9315423835979035,,0.9035472661680058,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.05613636718708
M52,,,,,,,,,,,0.7739232574233019,0.7900605846343531,0.8188275348134001,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67170365975439
M51,,,,,,,,,,,0.9353089116846957,0.8622155330228098,0.9284552691127833,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.436883442954837
M67,,,,,,,,,,,0.9795403737304925,,0.7133186739360382,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3465734754417
M64,,,,,,,,,,,0.845355610719553,0.8801637007636077,0.7519526027982923,0.7890142282530839,,,,,,,,,,,,,,,,,,,,,,,,,,,29.040824590161346
M53,,,,,,,,,,,0.9351359415975677,0.7962570183632289,0.8028855713642161,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.52358065270808
M65,,,,,,,,,,,0.859921627442505,,0.7880200820721966,0.7097010834880473,,,,,,,,,,,,,,,,,,,,,,,,,,,47.01514532895472
M62,,,,,,,,,,,0.8839380663478429,0.8561513084636821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.31707453098329
M71,,,,,,,,,,,0.7305687531581889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.42230563549387
M63,,,,,,,,,,,0.821851343140072,,0.849650220857457,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.61743306683664
M57,,,,,,,,,,,0.7662950247009693,,0.9575354388405231,,0.8776182143851554,,,,,,,,,,,,,,,,,,,,,,,,,,92.55962556055916
M74,,,,,,,,,,,0.7046327173903473,,0.7929088570698214,0.9276107262897153,,,,,,,,,,,,,,,,,,,,,,,,,,,47.961625922865
M61,,,,,,,,,,,0.8719425703487683,0.8129215336645499,0.8947660966537193,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1478960772809
M73,,,,,,,,,,,0.7120331700308857,,0.7104582039099778,0.7713955036410793,0.9005211674430782,,,,,,,,,,,,,,,,,,,,,,,,,,69.71760997022558
M60,,,,,,,,,,,0.745029785424259,0.7443747788749091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.90379542337975
M72,,,,,,,,,,,0.7964172821643403,0.9484910277750471,0.7426041514453944,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.44462556339909
M69,,,,,,,,,,,0.8872886177153219,0.9268511651267575,,0.945437151271181,,,,,,,,,,,,,,,,,,,,,,,,,,,82.84204479573442
M87,,,,,,,,,,,,,,,,0.9013431788170232,0.8719674987840151,0.710963424049375,0.8703598082293456,,,,,,,,,,,,,,,,,,,,,,77.25011565505947
M76,,,,,,,,,,,,,,,,0.9250576560959604,0.7581821683051159,0.9285644365054985,0.8450952765700781,,,,,,,,,,,,,,,,,,,,,,81.73440655233611
M78,,,,,,,,,,,,,,,,0.7468716884721422,,0.7475377596208014,0.7091081884577135,,,,,,,,,,,,,,,,,,,,,,30.944742814966347
M96,,,,,,,,,,,,,,,,0.7028605424878761,0.9550853764647474,0.9667825182773031,0.794189981430921,,,,,,,,,,,,,,,,,,,,,,94.1345656924114
M97,,,,,,,,,,,,,,,,0.8434255604391641,0.9583847393862398,,0.8391960740615985,,,,,,,,,,,,,,,,,,,,,,82.06361837336422
M86,,,,,,,,,,,,,,,,0.9103669660455038,0.9768188501372663,0.855189734858787,0.9609015648113938,,,,,,,,,,,,,,,,,,,,,,92.46044816917461
M77,,,,,,,,,,,,,,,,0.8716882087830577,,,0.7271270485244308,,,,,,,,,,,,,,,,,,,,,,89.03942883734281
M93,,,,,,,,,,,,,,,,,0.7766596736420254,,0.768240784794856,,,,,,,,,,,,,,,,,,,,,,44.68894524603645
M82,,,,,,,,,,,,,,,,,0.7180529791434342,0.7250895677030129,0.8163059298779095,,,,,,,,,,,,,,,,,,,,,,47.1018504320111
M88,,,,,,,,,,,,,,,,,0.7214495294236365,0.8078296460457494,0.8568313360009936,,,,,,,,,,,,,,,,,,,,,,22.670176316084515
M94,,,,,,,,,,,,,,,,,0.7331833582788867,,0.7495011118527746,,,,,,,,,,,,,,,,,,,,,,14.05775043173938
M92,,,,,,,,,,,,,,,,,0.7887962478754176,0.9428824321778477,0.8506605121483458,,,,,,,,,,,,,,,,,,,,,,50.29047369996392
M89,,,,,,,,,,,,,,,,,0.7722539321415358,0.8675002720570224,0.9420156875258512,0.7293309492018649,,,,,,,,,,,,,,,,,,,,,85.9263725679135
M81,,,,,,,,,,,,,,,,,0.8829843185053541,,0.8780378126399515,,,,,,,,,,,,,,,,,,,,,,95.62499278425855
M85,,,,,,,,,,,,,,,,,0.894109782508615,0.8191081169145694,0.8834824041860159,0.7202755434011388,,,,,,,,,,,,,,,,,,,,,36.06579747286928
M84,,,,,,,,,,,,,,,,,0.9511657534175633,0.751721351811572,0.8770420079011455,0.7076467835335994,,,,,,,,,,,,,,,,,,,,,77.94445313516678
M79,,,,,,,,,,,,,,,,,,0.720189360279123,0.9676259625907102,0.7048220214838613,,,,,,,,,,,,,,,,,,,,,98.00737209214766
M90,,,,,,,,,,,,,,,,,,0.7675709594975508,0.7494330419022888,0.960998852484346,,,,,,,,,,,,,,,,,,,,,89.48031793961329
M98,,,,,,,,,,,,,,,,,,0.7792455587627007,0.9100766154434874,,,,,,,,,,,,,,,,,,,,,,11.384474398759405
M83,,,,,,,,,,,,,,,,,,,0.7459578457667674,,,,,,,,,,,,,,,,,,,,,,59.6274419996774
M80,,,,,,,,,,,,,,,,,,,0.8883441777542652,,,,,,,,,,,,,,,,,,,,,,45.56056677116841
M99,,,,,,,,,,,,,,,,,,,0.9228460274779542,,,,,,,,,,,,,,,,,,,,,,82.77565869233744
M91,,,,,,,,,,,,,,,,,,,0.9786307144246158,,,,,,,,,,,,,,,,,,,,,,52.39503960490424
