,T0,T2,T4,T1,T3,T5,T6,T9,T7,T8,T10,T12,T13,T14,T11,T15,T16,T19,T17,T18,T20,T21,T22,T24,T23,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,cost
M5,0.8880203505217897,0.7410009542066793,0.8937146060230661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.04692445076171
M7,0.7245856598298757,0.8768425414235628,0.9344873997890658,0.7265545993659839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5145141550197
M17,0.9287931386098519,0.753711377285427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41170292044327
M8,0.7032266836482954,0.7424291491661741,0.8962917787595992,0.82010586166782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.18007368716907
M13,0.7288561530696543,0.8567209395444169,0.8739767612776758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.33745661544704
M18,0.8891583326181448,0.9182421739416322,0.840989757215624,,0.9583058587854927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.45131874631727
M23,0.9537432239181294,0.9614845241680587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.92359781525418
M20,0.9156088347931535,0.8316183191959716,0.9290300391510986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65163608295361
M9,0.7328240568063507,0.8855736658866851,0.8418625297440747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.28747090719314
M6,0.8201313631475515,0.9333252237552149,0.8037097907982663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.194784190360462
M11,0.7176954679738576,0.7212764766515226,0.8739089267954995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.65712279952903
M21,0.7663612136680273,0.9357224644440806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.685364086498817
M16,0.7575680947583252,,0.8155266479494412,,0.9110794323446887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.88565963776097
M15,0.7533211232132698,0.8957156164928463,0.961107965492238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.46533359332746
M14,0.9152686358132134,0.8204668170484808,0.9063998261457717,,0.8189177233000711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.02459127275239
M19,,0.9183028428512514,0.7719190259073883,0.9513343439817404,0.7451743756481801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.958931349195986
