,T0,T1,T5,T6,T8,T3,T4,T7,T9,T2,T10,T11,T13,T18,T15,T16,T17,T14,T12,T19,T20,T21,T24,T26,T27,T28,T29,T22,T23,T25,T30,T31,T35,T38,T39,T33,T32,T34,T36,T37,T40,T42,T44,T49,T41,T48,T43,T45,T46,T47,T50,T55,T57,T58,T52,T56,T53,T54,T51,T59,T60,T61,T64,T65,T66,T67,T68,T69,T62,T63,T70,T74,T77,T71,T72,T73,T75,T76,T78,T79,cost
M22,0.8913165513951916,0.7197364692880638,0.9675370579675802,0.9651136039528352,0.7718309814333963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.45021845180997
M12,0.952847966258724,,0.7104142675054718,,0.7071654641980742,0.7601403706460159,0.7620710292662314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12407599908787
M1,0.910415280354461,,,,0.92791080616629,0.8025951879300397,,0.7830342531954125,0.8255805924391806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1137852571174
M15,0.9474427286776395,,0.820060633965817,,0.8741493772812675,,0.8779569762933748,,0.9414384520701803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.522969111976906
M4,0.8447445131324295,0.7430922290055396,,,0.88784350129435,0.9526529860964343,0.7756625304788992,0.8443083279272866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.17828536888655
M7,0.9764365983988982,,,,0.709306334221812,0.9568157184619712,,,0.9307251958711222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.49398951399994
M10,0.7920742928970032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.544343743770634
M13,0.8575082207137418,0.7838859949763453,,,0.8768807571843429,0.7172240766668599,,0.8044050844152841,0.7321090857929086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.87545185629327
M11,0.7381355325618435,,,0.753185633203262,,,,0.8125557486650199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.075876479288354
M6,0.9497287104750489,0.9190035592084101,0.7114248289157157,,0.8001576656728856,0.9031194922318186,0.7002608811153397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0242983976884
M9,0.7515145058423878,,0.7583783949208416,,0.7440863851710896,0.8922622697470596,0.749667930235437,,0.9550473958219954,0.7562034128952546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.99331711936733
M23,0.784885000189422,,0.7655387071697777,,0.7688776101505403,0.812862973384896,0.8220947566317207,,0.7217272964533252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.58706118240639
M19,0.9649333656102461,,0.8737181000527742,0.7774231007387313,0.7014063912540105,0.7918921064561192,0.8071532049540284,,0.8576935814148594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6867839509759
M16,0.8594112453925397,,,,0.9737558009468664,,0.9577637086620682,,0.9724087276914585,0.8604430639651246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.77952673577163
M5,0.9663481397571434,0.7845874361917868,0.7721564373767509,,,,0.958593218028741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.63833320806052
M3,0.7311441893971352,0.7723040356704005,,,,,,0.8859059261511703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.798661076166617
M20,,0.8556881012999376,,0.8120758098310098,0.8194152597584977,,0.8706412014379533,0.8040415329532342,0.7015645414480565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.38242735991288
M18,,0.9477716449950601,0.8887084279188333,0.7166432335872471,0.76837167123031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.560348108932764
M0,,0.9237612958897343,,0.7477184452859698,0.7956207876182272,,0.8521793828322196,0.702709879570075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.96354498183691
M17,,0.743108086272128,0.9268030794951474,,0.868696924454531,,,0.8033667941837019,0.8914668131080785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8247420009113
M2,,0.8461556196083478,0.7346213967834625,0.9053061392150508,0.865432181055936,,0.783285015641782,0.7242574232814782,0.7261686130694974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.232526749963576
M21,,0.8099493453215051,0.912379550394536,0.7019984341908233,0.7791214091690684,,0.8625541754561155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.88638961207144
M14,,,,,,0.8589412785828469,0.7302065334855729,,,0.8902775335736995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.562726354838205
M8,,,0.7978784589288965,,0.8610596960560785,0.9614269971757661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.20914088972532
M24,,,,0.7250628248903714,0.8663391339854004,,0.7707800461890008,0.8682842064163614,0.7920909055188637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.89275281712157
M42,,,,,,,,,,,0.7084813850009841,0.9248042320917205,0.8674431275911967,0.9083195259989569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.57335997090759
M34,,,,,,,,,,,0.711640794057275,0.8071519233123282,0.8255637538748737,0.7991234314296719,0.7225869513577302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.170097572593686
M40,,,,,,,,,,,0.9450779418577556,,,,0.9610032949092719,0.9119959940172413,0.9698923330999368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9489062944883
M37,,,,,,,,,,,0.8893304148309179,,0.9380979777458311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.923396790950441
M28,,,,,,,,,,,0.7262188119605051,,0.9389457469115668,,,,,0.9692566443741819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.42597109365119
M49,,,,,,,,,,,0.7291642497022828,0.9588686971534739,0.8530982980727853,0.962736370065855,0.9301702647004695,,0.8785417613156756,0.8707946387857564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.035722705449
M39,,,,,,,,,,,0.7663745862223142,0.7493898986746936,,,0.9329592353592575,,,0.7569907909308915,0.8030761742632044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.334052480724573
M36,,,,,,,,,,,0.8069694752519979,,0.8998384292192968,,0.7656804171800703,0.7036358486160471,0.838356148293764,0.8525449654115993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.686501082670876
M45,,,,,,,,,,,0.9301280756231509,,0.7296083859849745,,,0.9469430710347366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.61416633007187
M46,,,,,,,,,,,0.8317653532591096,0.9583626382440792,0.943532003879181,,,0.7839536197400615,0.9074159750846873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.19817507435079
M48,,,,,,,,,,,0.8640062082511979,,0.8236479277727595,,0.8336311132974478,,0.889946961119553,,,0.7978983402477815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11189784987019
M32,,,,,,,,,,,0.7009542094168179,,0.9727190124315634,0.7084312452522777,0.8793279491481132,0.8878692999362963,,0.7995636093466781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.03803286478188
M27,,,,,,,,,,,0.8410956369439849,,0.8928845073645333,,0.8135238875284266,,,0.7442741495358194,0.942933728724525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.00568390916861
M38,,,,,,,,,,,,0.8617207052653688,0.7308420788570492,,,0.9198077465597415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.35403448777558
M35,,,,,,,,,,,,0.7791869972752111,0.7364911443878513,,,0.7399630733694162,,,,0.9777131359031395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17091837732293
M25,,,,,,,,,,,,,0.8544409727047879,,0.8292963239507196,0.8137416865423265,0.8000491079579931,,0.746542066920721,0.8266325830723442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.961849459098964
M41,,,,,,,,,,,,,0.9757919984559926,,0.7725282293082101,,,0.8265253333629627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.88815961839855
M30,,,,,,,,,,,,,0.7272802848100737,,0.7647823586719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.442114831243096
M26,,,,,,,,,,,,,0.8460596432192812,,0.8281745080974168,0.8813520668468734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.90357041836826
M43,,,,,,,,,,,,,0.8854792763720921,0.9612775435351261,0.884024560792247,0.8160880508113855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.63173317116133
M33,,,,,,,,,,,,,0.9304588211362605,0.705708747486445,,,,,,0.7794940431362262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.98508985574696
M44,,,,,,,,,,,,,0.9393471803627742,,0.7269216617191911,0.9568864017716446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7010813280406
M29,,,,,,,,,,,,,0.8977158136253166,,0.74096582855341,0.8243243945254448,0.9493497383520588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.704667589694734
M47,,,,,,,,,,,,,0.839657594210235,,0.7111931850921478,,0.7966700057324807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.643091305891105
M31,,,,,,,,,,,,,0.7255833640329876,,,0.9036915976309633,0.8516920576741299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.09855807166574
M68,,,,,,,,,,,,,,,,,,,,,0.743045475735944,0.7214271168859031,0.7872157724066848,0.979194723151428,0.8014688429813547,0.9207764191488781,0.7711254437405777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.69220263338713
M71,,,,,,,,,,,,,,,,,,,,,0.955144346487447,,,,,0.7168884270797273,0.9451936019638569,0.7771707145033698,0.7010483000097749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97758072123563
M65,,,,,,,,,,,,,,,,,,,,,0.7468861355870028,,,,0.8084755191025556,0.796620254197755,0.799287041991513,0.7913606362615773,0.9465084309067746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35430902350099
M74,,,,,,,,,,,,,,,,,,,,,0.8552433600671754,0.8784998589852377,0.8683410735791469,,0.8978630795418033,,0.9634103129254447,,0.7101857357951247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.19484576484835
M51,,,,,,,,,,,,,,,,,,,,,,0.8480856327897284,,0.9162730059617775,0.8907693886531043,0.8108949193924834,0.8867456609084862,,0.9462933287753248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.61471126509441
M67,,,,,,,,,,,,,,,,,,,,,,0.7053151986038192,,0.8703822486327701,,0.8310140445544566,0.8983158705067208,0.9733170439980404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.16902589460898
M52,,,,,,,,,,,,,,,,,,,,,,0.8020060280092026,0.8378428365203261,0.8814509743784386,,0.7917319936430518,0.9504745533847146,,0.9749369880240895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.79625671550327
