,T0,T9,T12,T13,T14,T16,T17,T22,T24,T3,T8,T18,T20,T2,T19,T21,T23,T1,T6,T10,T15,T5,T11,T4,T7,T25,T27,T28,T29,T30,T33,T34,T35,T36,T40,T41,T42,T44,T46,T37,T38,T45,T47,T48,T31,T39,T32,T43,T26,T49,T50,T51,T55,T56,T59,T63,T69,T70,T73,T74,T54,T57,T62,T66,T71,T72,T65,T68,T52,T67,T53,T60,T58,T61,T64,T75,T81,T82,T87,T92,T93,T94,T95,T96,T98,T76,T78,T80,T85,T90,T91,T99,T97,T79,T77,T84,T88,T86,T83,T89,T100,T104,T105,T106,T111,T116,T117,T121,T124,T101,T108,T109,T119,T120,T123,T103,T113,T114,T107,T115,T122,T118,T102,T112,T110,T125,T129,T130,T131,T132,T135,T139,T140,T143,T148,T149,T126,T127,T137,T138,T141,T144,T145,T147,T136,T134,T146,T128,T133,T142,T150,T151,T154,T156,T157,T159,T162,T164,T165,T166,T170,T171,T172,T153,T158,T163,T174,T155,T160,T173,T161,T167,T152,T168,T169,T175,T177,T178,T179,T180,T181,T182,T185,T186,T189,T196,T198,T176,T190,T191,T193,T199,T184,T192,T195,T197,T183,T188,T187,T194,cost
M278,0.8370428840045823,0.8726831062224744,0.8931859665524371,0.80337544830022,0.8232418490135814,0.8977434563848152,0.7914509961626016,0.8887676829352378,0.894573237582938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.77163886492861
M224,0.8002065138295816,0.8343392130365463,0.8033378840757759,0.8710224472773694,0.8118564782273751,0.7660396352036674,0.9272864288364322,0.8954647278604857,,0.8196603575899913,0.8194990410367791,0.7904164187151058,0.7422268856030908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.00602100630753
M638,0.7111891235665099,,,0.9395081337540468,0.7920400182931521,0.9545188786743264,,0.8469191168591549,,0.8255620574161155,,,0.9153952439140226,0.8152731605801281,0.9001832074924618,0.9617627142156733,0.9662293106902896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.18353966697931
M649,0.8142283586687552,0.7140786733065064,0.7068150756408631,,0.8767055688584627,0.8487667599469321,,0.8956870922252578,,0.7930173908263951,0.971604014251757,0.8852430331944007,,,,0.951032122064088,0.927333657155161,0.7562533883512265,0.7338433168505089,0.7036343975337294,0.9105025813312514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.521828574977015
M499,0.9642860205571556,0.8239090443984024,0.9499320410321662,0.9213219296982527,0.9047671773743877,,,0.7728645585522076,,0.8584357860945847,0.9730037976404702,,,0.8578324308203038,0.8812635669417481,,,,0.705525276527138,,,0.8725480261036753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.81959854038784
M5,0.7107645616911645,0.8246275734459458,0.7164172495886387,0.7702861837530246,0.9228189310592824,0.7653572974857189,,0.769253162466377,,0.8596075314274256,0.8477392808679864,0.8865960367351409,0.7591557957106359,,0.9773915026774794,,,,,,,0.9012985190571345,0.736893174142051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.815164926808052
M137,0.8758778130330908,0.8852892859336987,,0.9579494111588984,0.9437223757308807,0.7708275628047256,,0.9217270956359452,0.9272503785760525,0.8963164887279225,0.8507877072051938,,0.8628693197595783,,,,,,0.9396529309442516,,0.9414843551379,,,0.8211499880246712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.718876112264
M305,0.7391811763819052,0.9307828613235284,,0.7338500361033096,0.924313352067387,,,0.928074308985584,,,,0.8138143062422809,,0.8070810726333784,,,0.8522219230122089,,0.9697228576998773,,0.7165651866785938,,,0.8868552194870032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.28299991646259
M702,0.9760302591756045,0.7896281653801928,0.9199962467454436,0.8275120932098149,0.9472524552551632,,,0.9770276984032074,,0.9422830070516037,,0.9464194904828478,0.8349543070121195,0.830361748306493,,,,,0.8906295023329435,,,,,0.7156492820248599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.559029890685418
M155,0.8065255136357222,0.7891773891221665,,0.7915819040353315,,0.9442820425293125,,0.7476222766968016,,,,0.7632142585757071,,,0.7135130927980261,,0.9313706290063404,,,,,0.8009942515161622,,0.9281998244434211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53233963028196
