,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,cost
M745,0.7405583669902777,,,,,,,,,,,,,,,,,,,,43.13587238515217
M740,0.893442539116688,0.8289702278234328,,,,,,,,,,,,,,,,,,,83.55243741893538
M349,0.913879543484612,0.917606644231489,,,,,,,,,,,,,,,,,,,75.46969752857876
M247,0.8408782656212461,0.932086820705411,,,,,,,,,,,,,,,,,,,64.95831518469885
M144,0.9143140562279929,0.7469513982900459,,,,,,,,,,,,,,,,,,,98.67481590558657
M335,0.8533410270910393,,0.8751752294771418,,,,,,,,,,,,,,,,,,48.102814029075866
M275,0.8221882798089618,0.8159767186888247,,,,,,,,,,,,,,,,,,,18.91409435262608
M312,0.9020295637825518,0.967855571797788,0.8692792984670912,,,,,,,,,,,,,,,,,,37.15258716496638
M320,0.727276140140268,0.9261221132315598,0.9757986247607049,,,,,,,,,,,,,,,,,,14.04647509876079
M676,0.8997552446324348,0.7458881758698225,,,,,,,,,,,,,,,,,,,74.35464541057333
M424,0.9004311020065423,,,,,,,,,,,,,,,,,,,,50.45904443217756
M19,0.8810054659162752,0.9514685443199055,,,,,,,,,,,,,,,,,,,96.42977981233273
M337,0.9537157116976008,,,,,,,,,,,,,,,,,,,,67.12821501845383
M149,0.8316453496775215,0.9086845214181961,,,,,,,,,,,,,,,,,,,66.1457891721504
M617,0.872428814103092,,0.7680539059278809,,,,,,,,,,,,,,,,,,57.291763331677465
M723,0.7770077994971225,,,,,,,,,,,,,,,,,,,,15.052376949873935
M377,0.8960074229429105,0.8263918860682495,,,,,,,,,,,,,,,,,,,34.65148045299192
M161,0.8949103552378804,0.8953238387057254,,,,,,,,,,,,,,,,,,,57.72165723403203
M367,0.9106276718238844,0.9347659655813039,,,,,,,,,,,,,,,,,,,70.41213329337862
M657,0.8653996329523338,0.7415500745988844,,,,,,,,,,,,,,,,,,,80.90304474171452
M226,0.805637620797365,0.8554548268231095,,,,,,,,,,,,,,,,,,,39.7448584837787
M301,0.8890958144301732,0.9167283119691794,,,,,,,,,,,,,,,,,,,45.92680198467489
M419,0.8556894165684737,0.940805315594301,,,,,,,,,,,,,,,,,,,65.2767114113319
M553,0.7238459733306799,0.764244508936639,,,,,,,,,,,,,,,,,,,40.0693799958968
M557,0.835008021238252,,,,,,,,,,,,,,,,,,,,50.67055639964492
M542,0.8384009421616235,0.9120284329738614,,,,,,,,,,,,,,,,,,,33.270245766329474
M181,0.7513609890541232,0.7828004202358312,0.7861034658940552,,,,,,,,,,,,,,,,,,10.795910411683423
M120,0.9612480061965323,0.975256726233326,,,,,,,,,,,,,,,,,,,97.5109422550922
M2,0.7491729761241245,0.8387089806577961,,,,,,,,,,,,,,,,,,,99.55259337259602
M148,0.7994664766286361,0.9552960188917918,,,,,,,,,,,,,,,,,,,45.9158707025447
M124,0.9387440962862298,0.7104839077386256,0.7823544883689644,,,,,,,,,,,,,,,,,,12.660368183858825
