,T0,T5,T8,T1,T3,T2,T4,T7,T6,T9,T10,T12,T11,T13,T17,T18,T19,T14,T15,T16,T20,T21,T25,T26,T27,T28,T29,T22,T24,T23,T30,T33,T36,T38,T34,T35,T37,T39,T32,T31,T40,T43,T44,T46,T47,T49,T42,T41,T48,T45,T50,T51,T52,T53,T54,T57,T55,T56,T59,T58,T60,T61,T63,T69,T64,T62,T67,T68,T66,T65,T70,T72,T73,T75,T76,T78,T71,T74,T77,T79,cost
M602,0.9207146427590351,0.9381402230455002,0.9789669752510858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.367640667736332
M136,0.8108598326937316,0.810974507050505,,0.9447296255234974,0.7407594074623433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.01323846211582
M209,0.8981327528181345,0.804804458000633,0.9623341286789407,0.9433968323299473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.027231838582456
M593,0.7669649770273956,0.730446351677464,,0.9221700061923428,,0.8257423225791043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66731043568738
M27,0.8935138358518702,0.9660974799354998,0.7289930098004707,0.8940293950163529,0.8766660261517616,0.8978768204235664,0.8287106062843366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.806475557361338
M76,0.9092324685482736,0.7230178398391421,0.869427842878641,0.7307740641482587,0.7314595311091424,,0.7333955272088206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.53441831050233
M402,0.7087205775885962,,,0.8128597962438455,,0.7758023644316974,0.840076218090221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.15065362934219
M63,0.9383447636841618,0.9305739915856761,,0.911213902958137,,0.7367458762331954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.33155796677264
M621,0.7481044099973612,0.9415827167143396,0.9120260085270506,0.816941432085967,0.7961629123199484,0.744319910674132,0.9062470391989562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.37619557453058
M341,0.9708561364252449,0.7818144798600271,,0.7409516572783689,,0.9408390715282386,0.924678379522407,0.7043122748139763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.175360456826226
M392,0.8836757278227805,0.7428741046149654,0.7940319872465037,0.7434598302345083,0.7718621514280599,0.9059288724426456,,0.9285118824707079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.56571924598874
M405,0.7109470028018193,0.846323503698594,0.7125705530008022,0.9175887230581218,0.8237375839717445,,,0.780764395322893,0.7818517784728778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.40753381659121
M696,0.9587106296168455,0.7016493979143372,,0.9087505431521951,,0.8105360275658767,,0.745498558646952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.23124740480384
M80,0.941441300968981,0.8240742093779624,0.9218070524643027,,,,0.9711625194869469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.64697444471979
M58,0.9756053024491601,0.7630427700481132,0.8042725463936568,0.920621126979773,,0.9054018042811702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.230612488842642
M175,0.9496626120673332,0.7064441166505928,0.9075663792655437,0.8334399688627666,0.7046406867647181,0.8824924917786341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.341718910893976
M18,0.8417921101200847,0.846805085586515,0.7992568761590046,0.9208902158718104,,0.8961510191132283,0.7562496964992462,0.7003352496673697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06014948881003
M486,0.9547772748645389,0.9279241708248143,,0.8332893375868908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4201564650962
M410,0.7424658543900076,0.8229575506857375,0.9350319592320261,0.7897580498929234,0.7826475240226953,0.7964655282977547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.358005152503218
M553,0.9744065672012446,0.8894705079924272,0.7428640105953946,0.9176909438389328,0.9679312392303234,0.8816538054351357,0.8221481414121625,0.8560874561795371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.731312343766515
M735,0.8195142845915984,0.8416734530374921,,0.9019743719304488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.63765497958369
M38,0.9598138606868355,0.7844355909792163,,0.7629179134394886,,0.7049439674705017,,0.8456278440810506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.125219422735476
M713,0.9063675579289279,0.8157297700142708,,0.7735719467120127,0.7371287436069927,0.8420172179271369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.11622848955565
M420,0.717522746919033,0.7461714250596972,,0.7058162170377387,,0.7126566792598507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8025808536714
M51,0.8948422045499141,0.947359106539704,0.788542775909111,,0.886064846310143,0.84078556054459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.57516338253273
M716,0.9038508596000773,0.8652088807475875,,0.7628637817745069,0.797607958165634,,0.8156614172874831,,0.7369959567246847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.02440339262434
M125,0.7912750965536823,0.9665981344193274,0.9403140382390064,0.9358712535781856,,,0.8078148994239944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.23429906124408
M165,0.7118137852133771,0.736137598777117,,0.9348271444761238,0.7094452774064913,0.7070813221892946,0.7816977865157312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.703791293324695
M116,0.754746636393547,0.8945227216146303,,0.8178992495725294,0.9588876878302538,0.8398244396149348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.03014272282287
M307,0.7888116126751024,0.9453707231159123,,,,0.9422810535181112,0.8385881746431009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0375686271891755
M81,0.8016926202110466,0.8237217378566057,,0.8683915910809451,0.7286833672025803,0.9016382567088408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.80481641656667
