,snowboard,carrot,keyboard,cell phone,sports ball,clock,bus,person,surfboard,refrigerator,knife,backpack,dog,cup,bear,tie,banana,baseball glove,tv,microwave,bowl,fork,couch,umbrella,kite,train,remote,cost,oven,bicycle,skis,orange,sink,sheep,spoon,traffic light,airplane,teddy bear,laptop,giraffe,bed,mouse,hair dryer,donut,chair,boat,cake,scissors,stop sign,toilet,book,bench,broccoli,elephant,frisbee,apple,toothbrush,parking meter,bottle,cow,pizza,car,dining table,sandwich,handbag,hot dog,horse,bird,suitcase,skateboard,vase,tennis racket,toaster,zebra,fire hydrant,motorcycle,cat,potted plant,wine glass,baseball bat,truck
model_64,0.31,0.44,0.45,0.43,0.5,0.53,0.57,0.68,0.53,0.5,0.39,0.33,0.55,0.5,0.45,0.55,0.46,0.46,0.6,0.39,0.45,0.45,0.39,0.53,0.56,0.57,0.46,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_45,0.39,0.41,,,,0.61,0.6,,,,,,,,0.59,0.48,0.41,,,0.38,0.5,0.41,,0.58,,,,26.0,0.44,0.48,0.54,0.42,0.58,0.6,0.31,0.58,0.64,0.6,0.59,0.66,0.5,0.56,0.0,0.5,0.5,0.47,0.49,0.09,0.61,0.66,0.29,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_133,,,0.68,,0.74,,,,0.73,0.63,0.54,,,,,0.61,0.52,,0.71,,0.59,0.63,0.49,,0.7,,,44.0,0.61,0.7,,,,,0.45,,,,,,0.7,0.83,,,,0.64,0.63,,,,0.4,,0.55,0.91,0.84,0.36,0.45,0.65,0.61,0.72,0.69,0.7,0.54,0.42,0.4,0.53,0.8,0.53,0.66,,,,,,,,,,,,
model_132,0.46,0.4,,,,0.66,0.74,0.73,0.67,,0.51,0.33,0.58,,0.59,,0.47,0.51,0.6,0.48,,0.54,0.41,0.64,0.61,0.69,0.56,37.0,0.47,,0.52,0.54,,0.64,0.38,0.54,0.78,,0.58,0.71,0.54,0.59,,0.6,0.52,0.58,0.52,,0.65,0.61,0.37,,,,0.64,,0.23,0.41,0.56,0.56,0.6,0.66,,0.33,0.37,,0.71,,0.59,0.63,0.48,0.7,0.24,0.74,,,,,,,
model_32,,0.46,,,,0.68,,0.73,0.64,,,,0.63,0.57,0.62,,0.39,,0.62,0.46,,,,0.61,,,,26.0,,,,,0.63,,0.35,0.59,,0.64,0.66,0.78,0.55,,,0.58,0.52,,,0.15,,,,,0.44,,0.63,,0.25,0.43,,0.65,0.62,,,0.35,0.37,,,0.45,,,,,0.18,0.78,0.63,0.69,0.77,0.58,,,
model_83,0.51,,0.61,0.57,0.63,,,0.74,0.7,,0.49,,,,0.54,,0.47,,,,,,0.45,0.62,0.62,0.72,0.6,83.0,,0.62,0.54,0.52,0.61,,0.45,,,0.69,0.63,0.8,0.55,,,0.62,,0.55,,0.09,,,0.4,0.43,0.51,0.81,0.65,,0.3,0.42,,,0.61,,,,0.39,0.45,0.72,,0.59,,,,0.19,0.8,,0.7,,,0.57,0.58,0.47
model_36,,,,,,,,,,0.45,,,,,,,,,,,,,0.44,,,,,37.0,,,,,,,,,,,,,,,0.0,,0.5,,,,,,,,,,,,,,,0.66,,,,0.42,,0.38,,,,,,,,,0.71,,,,,,
model_119,0.6,0.44,,0.48,,0.69,0.73,,,0.58,0.41,0.29,,,,0.58,0.51,0.48,,,0.49,,,0.62,,0.74,,31.0,,0.56,,0.56,0.62,0.69,,,,,0.64,,0.66,,,,0.5,0.6,,0.25,0.75,0.78,,0.43,0.5,,0.72,,,0.53,,0.7,0.64,0.65,,0.43,0.33,0.48,,,0.58,0.71,0.52,0.67,,0.84,0.69,0.7,0.76,0.54,0.54,0.59,
model_59,0.58,,,,,0.63,0.69,,,0.61,0.43,0.39,0.66,,0.65,0.62,,,0.7,0.5,,0.54,0.4,0.66,0.63,,,52.0,,,0.62,,,0.64,0.37,,0.8,0.64,,,0.57,,0.08,,0.51,,,0.22,,0.63,,,0.44,,,,0.2,0.32,,0.69,,0.64,0.47,0.38,,0.44,,,0.5,,0.45,,,,0.69,0.63,0.72,0.57,,,
model_126,,0.47,,,,,,,0.71,0.63,,0.37,,,,,0.52,0.62,,,0.58,0.59,0.47,,,0.84,0.64,48.0,0.62,,,,,0.7,,,0.81,0.79,,,,,0.0,,,,,0.44,0.84,0.76,,0.46,,0.9,0.8,,,0.6,,,0.68,0.69,,,0.4,0.5,,,0.64,,,,,,0.81,,,,0.6,,0.45
model_94,,,0.48,,,,0.66,0.7,0.57,0.48,,,,0.59,,,0.42,0.44,,,,,0.39,0.57,,,,78.0,0.43,,,,,,0.36,,,,0.57,,,0.49,0.0,0.48,,,,0.08,,0.52,,,,,0.52,,0.21,,0.55,,,0.62,0.49,0.35,,0.42,0.72,,0.51,,0.41,,,,,0.66,0.66,,,,0.42
model_104,0.39,,0.43,0.41,0.53,,,0.68,,0.45,0.35,0.22,,,,,,0.5,,,0.42,,,,,,,39.0,,0.44,0.42,,,0.6,0.26,,,,,,,0.47,0.0,,,,,,,,,,0.45,0.7,0.53,,,,0.5,,,,,0.36,0.28,0.36,,,,,,,,,,,0.57,,0.46,,
model_148,0.5,0.4,,0.44,0.63,,,0.71,,0.4,,0.33,,0.58,0.55,,,0.55,0.55,0.34,0.52,,0.39,,0.58,0.67,,43.0,,,0.52,,,0.6,,0.58,,,0.54,0.8,0.47,0.56,0.0,,0.52,,,0.17,,,0.35,0.4,0.44,,,,0.23,0.31,,0.6,,,0.48,,,,0.61,,,0.67,0.46,,0.19,,,,,,0.52,0.48,
model_77,0.44,,0.48,0.48,,,0.62,0.71,,0.48,,0.38,0.55,,0.55,,0.46,0.46,0.61,0.42,,0.53,0.43,0.58,0.6,,,75.0,,,,0.43,,0.59,,0.55,,0.61,,0.72,0.48,,0.04,0.56,0.52,0.48,0.51,,0.57,0.53,0.39,,,0.73,0.55,0.31,0.22,0.36,,,,,,,0.4,0.39,,0.44,,,,0.65,0.13,0.72,0.58,0.68,0.64,0.53,0.49,0.51,0.46
model_86,,0.45,0.66,0.58,0.68,0.7,,,0.75,0.61,0.51,0.42,0.66,0.64,0.71,0.58,,0.56,0.67,0.56,,,,0.65,0.7,,0.65,78.0,,,0.62,,,0.68,0.45,,0.81,,0.69,,0.61,,0.1,0.69,0.55,0.6,0.62,,0.71,0.71,,0.42,0.51,0.84,,,0.37,,0.62,0.73,0.65,,0.54,,0.44,0.44,0.85,0.51,,0.76,0.54,0.78,,,0.74,0.74,,,0.62,0.66,0.47
model_34,,,0.58,,,,,,,0.64,0.43,,0.64,0.62,,0.53,0.44,0.61,,,,,0.48,,,,,36.0,,0.59,0.6,,,0.66,,0.61,,,,0.8,,0.62,,,,,,0.13,0.67,0.78,,0.46,,,,,,0.4,0.57,,0.68,0.67,,0.43,0.36,0.42,,,0.65,0.72,,0.71,0.22,0.75,,0.73,,,0.57,,
model_118,,,,0.46,0.52,0.61,0.65,0.69,0.55,0.43,,0.22,,0.51,0.57,0.49,0.44,0.44,0.63,0.39,0.45,0.4,0.42,0.47,,,,52.0,,0.5,0.44,0.51,0.55,,0.31,,,0.57,0.53,,,0.5,,,0.47,,0.43,0.14,,0.69,0.32,,,0.74,,,0.2,,0.51,,,,0.44,,0.28,0.43,,0.41,,,0.43,,0.16,0.75,0.56,,0.67,0.5,,0.47,0.39
model_37,0.54,,,,,0.71,0.73,,,,0.45,0.38,0.65,,0.71,0.62,,,0.71,0.5,,,,0.68,,,,50.0,,,0.64,,,0.68,0.39,,0.77,0.73,,,0.55,,,,,,,0.19,,0.78,,,0.49,,,,0.4,0.57,,0.71,,0.69,0.41,,,,,,,,,,,,,0.73,0.78,0.61,,,
model_106,,,0.47,0.43,0.52,,,0.67,0.56,,,0.26,,0.48,,,,0.43,0.6,0.32,0.44,0.37,,,0.52,,,29.0,,,0.44,0.45,0.52,0.55,,,,0.6,0.49,0.67,,0.44,,0.51,,0.5,,,,0.62,0.3,,,,0.52,,,0.31,0.52,,0.51,,,,,,,0.42,,,0.4,0.54,0.09,0.7,0.4,,,0.44,,,
model_123,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,0.16,,,,,,,,
model_140,0.62,0.48,,0.52,,0.73,,,0.71,,0.53,0.35,,,,,,,0.7,0.45,0.57,,0.47,0.69,,0.83,,29.0,0.58,0.65,,,,0.69,,0.62,0.8,0.72,,0.89,0.67,0.67,,,,0.6,0.59,,,0.72,0.38,0.44,,0.86,,0.33,,,,0.67,0.67,0.68,0.53,0.35,0.39,,,0.5,0.64,,,,,0.86,,,,0.6,0.6,0.62,0.45
model_128,,0.37,0.45,0.4,0.55,0.59,0.61,,0.56,0.4,,,0.47,0.53,,,0.43,0.46,0.56,,0.49,0.48,0.37,0.53,0.53,0.59,0.5,28.0,0.44,,0.39,,,,,0.54,0.54,0.6,,,,,,,0.48,,,0.1,0.44,,0.36,0.36,,,0.6,,0.16,,0.51,,,0.63,,,,0.36,,,0.56,0.6,0.39,,0.12,0.69,,0.59,0.64,0.53,,,
model_136,0.43,,,0.47,,0.67,,,,,,,,0.55,,,,,,,,,,,0.6,,,48.0,0.47,0.62,,0.5,0.54,,,0.55,,,0.55,,,,,0.53,,,0.5,,0.63,,0.36,,,,,,0.24,0.38,,,,,,,,,,,,,,,,,,,,,,0.54,
