,class,selectivity
0,person,0.396
1,mammal,0.389
2,clothing,0.383
3,wheel,0.343
4,window,0.299
5,human_body,0.281
6,human_arm,0.269
7,car,0.241
8,human_head,0.216
9,human_hair,0.211
10,man,0.206
11,footwear,0.204
12,tree,0.184
13,sports_equipment,0.181
14,plant,0.167
15,tire,0.157
16,flower,0.139
17,human_face,0.138
18,human_leg,0.136
19,human_hand,0.121
20,woman,0.113
21,human_eye,0.112
22,human_nose,0.099
23,girl,0.085
24,land_vehicle,0.079
25,auto_part,0.066
26,food,0.065
27,vehicle,0.064
28,human_mouth,0.062
29,snack,0.058
30,building,0.057
31,fruit,0.052
32,fashion_accessory,0.05
33,dog,0.044
34,vegetable,0.038
35,fast_food,0.036
36,chair,0.032
37,baked_goods,0.029
38,dress,0.029
39,airplane,0.028
40,bird,0.028
41,boat,0.027
42,human_ear,0.027
43,furniture,0.026
44,dessert,0.025
45,tableware,0.024
46,fish,0.023
47,vehicle_registration_plate,0.023
48,boy,0.022
49,table,0.02
50,house,0.018
51,drink,0.018
52,book,0.017
53,helmet,0.017
54,houseplant,0.017
55,shelf,0.015
56,cookie,0.015
57,pastry,0.015
58,seafood,0.015
59,bread,0.014
60,palm_tree,0.014
61,bicycle_wheel,0.014
62,sports_uniform,0.013
63,weapon,0.012
64,cattle,0.012
65,toy,0.012
66,lily,0.012
67,strawberry,0.012
68,bicycle,0.011
69,oyster,0.011
70,cat,0.011
71,trousers,0.011
72,dairy_product,0.01
73,tomato,0.01
74,rose,0.01
75,jeans,0.01
76,candy,0.01
77,cake,0.01
78,flowerpot,0.01
79,bottle,0.009
80,human_foot,0.009
81,cheese,0.009
82,suit,0.009
83,sculpture,0.009
84,roller_skates,0.009
85,shorts,0.008
86,swimwear,0.008
87,paddle,0.008
88,muffin,0.007
89,ball,0.007
90,cabinetry,0.007
91,juice,0.007
92,carnivore,0.007
93,mushroom,0.007
94,salad,0.007
95,orange,0.007
96,animal,0.007
97,truck,0.007
98,musical_instrument,0.007
99,drawer,0.007
100,door,0.007
101,pasta,0.006
102,horse,0.006
103,tower,0.006
104,boot,0.006
105,glasses,0.006
106,nail_(construction),0.006
107,ski,0.006
108,sushi,0.006
109,bicycle_helmet,0.006
110,shrimp,0.005
111,kitchen_utensil,0.005
112,van,0.005
113,lemon,0.005
114,desk,0.005
115,wine,0.005
116,human_beard,0.005
117,cocktail,0.005
118,watercraft,0.005
119,monkey,0.005
120,cupboard,0.005
121,cucumber,0.005
122,hat,0.005
123,home_appliance,0.004
124,helicopter,0.004
125,aircraft,0.004
126,train,0.004
127,canoe,0.004
128,wheelchair,0.004
129,drum,0.004
130,microphone,0.004
131,medical_equipment,0.004
132,insect,0.004
133,football_helmet,0.004
134,poster,0.004
135,jacket,0.004
136,tart,0.004
137,office_supplies,0.004
138,zucchini,0.004
139,box,0.004
140,sandal,0.004
141,grapefruit,0.004
142,motorcycle,0.004
143,personal_flotation_device,0.004
144,surfboard,0.004
145,street_light,0.004
146,high_heels,0.004
147,trumpet,0.003
148,convenience_store,0.003
149,skateboard,0.003
150,skyscraper,0.003
151,kitchen_appliance,0.003
152,invertebrate,0.003
153,laptop,0.003
154,sandwich,0.003
155,chest_of_drawers,0.003
156,pizza,0.003
157,parrot,0.003
158,sunglasses,0.003
159,tie,0.003
160,ice_cream,0.003
161,computer_monitor,0.003
162,mobile_phone,0.003
163,sheep,0.003
164,lavender_(plant),0.003
165,deer,0.003
166,rifle,0.003
167,vase,0.003
168,beer,0.003
169,bookcase,0.003
170,cart,0.003
171,mouse,0.003
172,pen,0.003
173,bathroom_accessory,0.003
174,tool,0.003
175,lizard,0.003
176,bull,0.003
177,bowling_equipment,0.003
178,parachute,0.003
179,guitar,0.003
180,swimming_pool,0.003
181,broccoli,0.003
182,pig,0.003
183,taco,0.003
184,pancake,0.003
185,spoon,0.002
186,cup,0.002
187,sofa_bed,0.002
188,bus,0.002
189,sparrow,0.002
190,piano,0.002
191,countertop,0.002
