experiment,workflow,startedAt,finishedAt,duration,resourcesDuration_cpu,resourcesDuration_memory
script_base_0_overlap_cost_150,sqlflow-ncgbj,2021-07-01T21:09:01Z,2021-07-01T21:16:50Z,469,916.0,916.0
script_base_0_overlap_cost_150,sqlflow-x2b59,2021-07-01T21:08:47Z,2021-07-01T21:08:57Z,10,2.0,2.0
script_base_0_overlap_cost_150,sqlflow-4b9cw,2021-07-01T21:23:15Z,2021-07-01T21:23:49Z,34,43.0,43.0
script_base_0_overlap_cost_150,sqlflow-kv6hp,2021-07-01T21:20:03Z,2021-07-01T21:23:22Z,199,375.0,375.0
script_base_0_overlap_cost_150,sqlflow-l4qf7,2021-07-01T21:19:37Z,2021-07-01T21:20:09Z,32,43.0,43.0
script_base_0_overlap_cost_150,sqlflow-w6lrg,2021-07-01T21:16:43Z,2021-07-01T21:19:42Z,179,324.0,324.0
script_base_0_overlap_cost_150,sqlflow-v2nxg,2021-07-01T21:08:53Z,2021-07-01T21:09:03Z,10,5.0,5.0
script_base_9_overlap_cost_100,sqlflow-8hnjq,2021-07-02T01:28:49Z,2021-07-02T01:28:59Z,10,1.0,1.0
script_base_9_overlap_cost_100,sqlflow-csms7,2021-07-02T01:28:54Z,2021-07-02T01:29:04Z,10,2.0,2.0
script_base_9_overlap_cost_100,sqlflow-k4jlv,2021-07-02T01:37:56Z,2021-07-02T01:38:35Z,39,48.0,48.0
script_base_9_overlap_cost_100,sqlflow-kw8wl,2021-07-02T01:31:20Z,2021-07-02T01:34:05Z,165,307.0,307.0
script_base_9_overlap_cost_100,sqlflow-m87vw,2021-07-02T01:34:24Z,2021-07-02T01:38:02Z,218,413.0,413.0
script_base_9_overlap_cost_100,sqlflow-pz9nh,2021-07-02T01:29:00Z,2021-07-02T01:31:26Z,146,266.0,266.0
script_base_9_overlap_cost_100,sqlflow-lzhtz,2021-07-02T01:33:59Z,2021-07-02T01:34:32Z,33,43.0,43.0
script_base_3_overlap_cost_50,sqlflow-m22gn,2021-07-01T23:05:24Z,2021-07-01T23:08:24Z,180,308.0,308.0
