experiment,workflow,startedAt,finishedAt,duration,resourcesDuration_cpu,resourcesDuration_memory
script_opt_0_overlap_cost_150,sqlflow-2ttph,2021-06-28T15:59:22Z,2021-06-28T15:59:32Z,10,1.0,1.0
script_opt_0_overlap_cost_150,sqlflow-mx4ns,2021-06-28T16:11:39Z,2021-06-28T16:15:28Z,229,433.0,433.0
script_opt_0_overlap_cost_150,sqlflow-zrhlz,2021-06-28T16:11:14Z,2021-06-28T16:11:46Z,32,42.0,42.0
script_opt_0_overlap_cost_150,sqlflow-zm49p,2021-06-28T15:59:26Z,2021-06-28T16:05:49Z,383,743.0,743.0
script_opt_0_overlap_cost_150,sqlflow-lvp2t,2021-06-28T16:15:22Z,2021-06-28T16:15:55Z,33,44.0,44.0
script_opt_0_overlap_cost_150,sqlflow-sb5ng,2021-06-28T16:05:44Z,2021-06-28T16:11:21Z,337,650.0,650.0
script_opt_0_overlap_cost_150,sqlflow-cmkmp,2021-06-28T15:59:17Z,2021-06-28T15:59:27Z,10,1.0,1.0
script_opt_0_order_cost_150,sqlflow-d5rfm,2021-06-28T15:51:49Z,2021-06-28T15:52:00Z,11,5.0,5.0
script_opt_0_order_cost_150,sqlflow-ndc4p,2021-06-28T15:51:57Z,2021-06-28T15:52:17Z,20,33.0,33.0
script_opt_0_order_cost_150,sqlflow-hpdsw,2021-06-28T15:44:50Z,2021-06-28T15:45:00Z,10,1.0,1.0
script_opt_0_order_cost_150,sqlflow-z6hx8,2021-06-28T15:52:25Z,2021-06-28T15:52:45Z,20,26.0,26.0
script_opt_0_order_cost_150,sqlflow-w4n2j,2021-06-28T15:53:19Z,2021-06-28T15:58:46Z,327,629.0,629.0
script_opt_0_order_cost_150,sqlflow-nrh9j,2021-06-28T15:45:00Z,2021-06-28T15:51:26Z,386,748.0,748.0
script_opt_0_order_cost_150,sqlflow-p8xvf,2021-06-28T15:52:20Z,2021-06-28T15:52:30Z,10,2.0,2.0
script_opt_0_order_cost_150,sqlflow-mxmbs,2021-06-28T15:52:43Z,2021-06-28T15:52:53Z,10,6.0,6.0
script_opt_0_order_cost_150,sqlflow-q78kc,2021-06-28T15:53:13Z,2021-06-28T15:53:23Z,10,5.0,5.0
script_opt_0_order_cost_150,sqlflow-llnb9,2021-06-28T15:58:38Z,2021-06-28T15:59:10Z,32,40.0,40.0
script_opt_0_order_cost_150,sqlflow-758l2,2021-06-28T15:44:54Z,2021-06-28T15:45:04Z,10,2.0,2.0
script_opt_0_order_cost_150,sqlflow-h9wv7,2021-06-28T15:52:51Z,2021-06-28T15:53:20Z,29,35.0,35.0
script_opt_0_order_cost_150,sqlflow-7nddb,2021-06-28T15:51:19Z,2021-06-28T15:51:56Z,37,50.0,50.0
script_opt_4_overlap_cost_150,sqlflow-d9cj7,2021-06-28T19:36:47Z,2021-06-28T19:37:20Z,33,43.0,43.0
script_opt_4_overlap_cost_150,sqlflow-7976j,2021-06-28T19:23:44Z,2021-06-28T19:23:54Z,10,2.0,2.0
script_opt_4_overlap_cost_150,sqlflow-7ps95,2021-06-28T19:29:26Z,2021-06-28T19:36:55Z,449,875.0,875.0
script_opt_4_overlap_cost_150,sqlflow-sdcjl,2021-06-28T19:23:50Z,2021-06-28T19:24:00Z,10,1.0,1.0
script_opt_4_overlap_cost_150,sqlflow-qkngp,2021-06-28T19:39:53Z,2021-06-28T19:40:27Z,34,45.0,45.0
script_opt_4_overlap_cost_150,sqlflow-cwxfx,2021-06-28T19:37:13Z,2021-06-28T19:40:00Z,167,311.0,311.0
script_opt_4_overlap_cost_150,sqlflow-8hdff,2021-06-28T19:23:55Z,2021-06-28T19:29:34Z,339,655.0,655.0
script_opt_2_overlap_cost_150,sqlflow-5dbqf,2021-06-28T16:51:11Z,2021-06-28T16:51:21Z,10,2.0,2.0
script_opt_2_overlap_cost_150,sqlflow-w72bd,2021-06-28T17:05:11Z,2021-06-28T17:05:43Z,32,42.0,42.0
script_opt_2_overlap_cost_150,sqlflow-ts77v,2021-06-28T17:01:14Z,2021-06-28T17:05:17Z,243,463.0,463.0
script_opt_2_overlap_cost_150,sqlflow-9gw88,2021-06-28T17:00:46Z,2021-06-28T17:01:21Z,35,49.0,49.0
script_opt_2_overlap_cost_150,sqlflow-js6fn,2021-06-28T16:51:21Z,2021-06-28T16:54:59Z,218,413.0,413.0
script_opt_2_overlap_cost_150,sqlflow-xlk27,2021-06-28T16:51:16Z,2021-06-28T16:51:26Z,10,1.0,1.0
script_opt_2_overlap_cost_150,sqlflow-jfglk,2021-06-28T16:54:52Z,2021-06-28T17:00:53Z,361,697.0,697.0
script_base_0_overlap_cost_150,sqlflow-z82dm,2021-06-28T13:34:08Z,2021-06-28T13:34:19Z,11,2.0,2.0
script_base_0_overlap_cost_150,sqlflow-d4ptv,2021-06-28T13:40:28Z,2021-06-28T13:41:01Z,33,43.0,43.0
script_base_0_overlap_cost_150,sqlflow-9k7fw,2021-06-28T13:34:24Z,2021-06-28T13:37:20Z,176,324.0,324.0
script_base_0_overlap_cost_150,sqlflow-5pchb,2021-06-28T13:34:16Z,2021-06-28T13:34:26Z,10,5.0,5.0
script_base_0_overlap_cost_150,sqlflow-2b44p,2021-06-28T13:48:37Z,2021-06-28T13:49:11Z,34,45.0,45.0
script_base_0_overlap_cost_150,sqlflow-7ncr5,2021-06-28T13:37:13Z,2021-06-28T13:40:34Z,201,380.0,380.0
script_base_0_overlap_cost_150,sqlflow-fbq75,2021-06-28T13:40:54Z,2021-06-28T13:48:45Z,471,914.0,914.0
script_base_3_overlap_cost_150,sqlflow-p6bqf,2021-06-28T14:29:50Z,2021-06-28T14:30:23Z,33,43.0,43.0
script_base_3_overlap_cost_150,sqlflow-w845v,2021-06-28T14:14:40Z,2021-06-28T14:14:50Z,10,2.0,2.0
script_base_3_overlap_cost_150,sqlflow-222wm,2021-06-28T14:24:15Z,2021-06-28T14:29:56Z,341,656.0,656.0
script_base_3_overlap_cost_150,sqlflow-7lwpl,2021-06-28T14:21:24Z,2021-06-28T14:23:54Z,150,274.0,274.0
script_base_3_overlap_cost_150,sqlflow-kwdwb,2021-06-28T14:14:34Z,2021-06-28T14:14:44Z,10,1.0,1.0
script_base_3_overlap_cost_150,sqlflow-lr8wb,2021-06-28T14:14:45Z,2021-06-28T14:21:27Z,402,777.0,777.0
script_base_3_overlap_cost_150,sqlflow-bmxqw,2021-06-28T14:23:47Z,2021-06-28T14:24:21Z,34,46.0,46.0
script_base_4_overlap_cost_150,sqlflow-wsf5p,2021-06-28T15:23:31Z,2021-06-28T15:24:03Z,32,42.0,42.0
script_base_4_overlap_cost_150,sqlflow-njbq9,2021-06-28T15:10:48Z,2021-06-28T15:14:52Z,244,463.0,463.0
script_base_4_overlap_cost_150,sqlflow-gdkzf,2021-06-28T15:10:45Z,2021-06-28T15:10:55Z,10,2.0,2.0
script_base_4_overlap_cost_150,sqlflow-smffr,2021-06-28T15:23:55Z,2021-06-28T15:27:51Z,236,449.0,449.0
script_base_4_overlap_cost_150,sqlflow-tgz9b,2021-06-28T15:14:45Z,2021-06-28T15:17:30Z,165,306.0,306.0
script_base_4_overlap_cost_150,sqlflow-zncrt,2021-06-28T15:17:54Z,2021-06-28T15:23:35Z,341,657.0,657.0
script_base_4_overlap_cost_150,sqlflow-l5zpp,2021-06-28T15:27:47Z,2021-06-28T15:28:20Z,33,43.0,43.0
script_base_4_overlap_cost_150,sqlflow-cvbch,2021-06-28T15:10:40Z,2021-06-28T15:10:50Z,10,1.0,1.0
script_base_4_overlap_cost_150,sqlflow-6528g,2021-06-28T15:17:24Z,2021-06-28T15:17:58Z,34,46.0,46.0
script_opt_1_overlap_cost_150,sqlflow-gtvkx,2021-06-28T16:31:04Z,2021-06-28T16:36:30Z,326,628.0,628.0
script_opt_1_overlap_cost_150,sqlflow-hh6ld,2021-06-28T16:25:34Z,2021-06-28T16:31:10Z,336,650.0,650.0
script_opt_1_overlap_cost_150,sqlflow-5647z,2021-06-28T16:36:26Z,2021-06-28T16:36:58Z,32,42.0,42.0
script_opt_1_overlap_cost_150,sqlflow-ls66s,2021-06-28T16:25:22Z,2021-06-28T16:25:32Z,10,2.0,2.0
script_opt_1_overlap_cost_150,sqlflow-ck7c5,2021-06-28T16:25:29Z,2021-06-28T16:25:39Z,10,2.0,2.0
script_opt_5_overlap_cost_150,sqlflow-hw895,2021-06-28T20:06:14Z,2021-06-28T20:06:50Z,36,48.0,48.0
script_opt_5_overlap_cost_150,sqlflow-9lvvc,2021-06-28T20:09:47Z,2021-06-28T20:10:23Z,36,49.0,49.0
script_opt_5_overlap_cost_150,sqlflow-fdr2t,2021-06-28T19:54:47Z,2021-06-28T19:54:57Z,10,1.0,1.0
script_opt_5_overlap_cost_150,sqlflow-hrwvj,2021-06-28T19:55:00Z,2021-06-28T20:00:51Z,351,678.0,678.0
script_opt_5_overlap_cost_150,sqlflow-6zkpd,2021-06-28T20:06:42Z,2021-06-28T20:09:52Z,190,356.0,356.0
script_opt_5_overlap_cost_150,sqlflow-jc7zh,2021-06-28T19:54:52Z,2021-06-28T19:55:02Z,10,3.0,3.0
script_opt_5_overlap_cost_150,sqlflow-6lp5c,2021-06-28T20:00:44Z,2021-06-28T20:06:22Z,338,651.0,651.0
script_opt_1_order_cost_150,sqlflow-8znck,2021-06-28T16:24:32Z,2021-06-28T16:25:17Z,45,67.0,67.0
script_opt_1_order_cost_150,sqlflow-bjtmp,2021-06-28T16:21:50Z,2021-06-28T16:24:39Z,169,314.0,314.0
script_opt_1_order_cost_150,sqlflow-sh8bt,2021-06-28T16:16:07Z,2021-06-28T16:16:17Z,10,2.0,2.0
script_opt_1_order_cost_150,sqlflow-zrsvz,2021-06-28T16:16:12Z,2021-06-28T16:21:53Z,341,659.0,659.0
script_opt_1_order_cost_150,sqlflow-mww5j,2021-06-28T16:16:02Z,2021-06-28T16:16:12Z,10,2.0,2.0
script_base_2_overlap_cost_150,sqlflow-xpwvp,2021-06-28T14:13:48Z,2021-06-28T14:14:29Z,41,62.0,62.0
