experiment,workflow,startedAt,finishedAt,duration,resourcesDuration_cpu,resourcesDuration_memory
script_opt_3_overlap_cost_50,sqlflow-wq225,2021-06-29T14:38:23Z,2021-06-29T14:41:11Z,168,308.0,308.0
script_opt_3_overlap_cost_50,sqlflow-rtvh9,2021-06-29T14:36:18Z,2021-06-29T14:36:28Z,10,5.0,5.0
script_opt_3_overlap_cost_50,sqlflow-fxkwz,2021-06-29T14:36:12Z,2021-06-29T14:36:22Z,10,2.0,2.0
script_opt_3_overlap_cost_50,sqlflow-jh2tl,2021-06-29T14:41:04Z,2021-06-29T14:41:37Z,33,44.0,44.0
script_opt_3_overlap_cost_50,sqlflow-nc8lc,2021-06-29T14:36:26Z,2021-06-29T14:38:31Z,125,223.0,223.0
script_base_0_overlap_cost_150,sqlflow-9k7fw,2021-06-28T13:34:24Z,2021-06-28T13:37:20Z,176,324.0,324.0
script_base_0_overlap_cost_150,sqlflow-d4ptv,2021-06-28T13:40:28Z,2021-06-28T13:41:01Z,33,43.0,43.0
script_base_0_overlap_cost_150,sqlflow-5pchb,2021-06-28T13:34:16Z,2021-06-28T13:34:26Z,10,5.0,5.0
script_base_0_overlap_cost_150,sqlflow-2b44p,2021-06-28T13:48:37Z,2021-06-28T13:49:11Z,34,45.0,45.0
script_base_0_overlap_cost_150,sqlflow-z82dm,2021-06-28T13:34:08Z,2021-06-28T13:34:19Z,11,2.0,2.0
script_base_0_overlap_cost_150,sqlflow-7ncr5,2021-06-28T13:37:13Z,2021-06-28T13:40:34Z,201,380.0,380.0
script_base_0_overlap_cost_150,sqlflow-fbq75,2021-06-28T13:40:54Z,2021-06-28T13:48:45Z,471,914.0,914.0
script_opt_6_order_cost_150,sqlflow-ckwt4,2021-06-29T20:05:41Z,2021-06-29T20:05:51Z,10,5.0,5.0
script_opt_6_order_cost_150,sqlflow-2fvdv,2021-06-29T20:19:30Z,2021-06-29T20:21:08Z,98,170.0,170.0
script_opt_6_order_cost_150,sqlflow-56dvv,2021-06-29T20:18:21Z,2021-06-29T20:19:36Z,75,126.0,126.0
script_opt_6_order_cost_150,sqlflow-gtlpj,2021-06-29T20:05:50Z,2021-06-29T20:06:00Z,10,2.0,2.0
script_opt_6_order_cost_150,sqlflow-wfss8,2021-06-29T20:21:01Z,2021-06-29T20:21:44Z,43,64.0,64.0
script_opt_6_order_cost_150,sqlflow-gjz5t,2021-06-29T20:12:46Z,2021-06-29T20:18:25Z,339,647.0,647.0
script_opt_6_order_cost_150,sqlflow-bhltn,2021-06-29T20:05:54Z,2021-06-29T20:12:49Z,415,798.0,798.0
