experiment,workflow,startedAt,finishedAt,duration,resourcesDuration_cpu,resourcesDuration_memory
script_opt_3_overlap_cost_50,sqlflow-g2slk,2021-06-30T11:32:04Z,2021-06-30T11:34:50Z,166,309.0,309.0
script_opt_3_overlap_cost_50,sqlflow-8tdxm,2021-06-30T11:29:52Z,2021-06-30T11:30:02Z,10,1.0,1.0
script_opt_3_overlap_cost_50,sqlflow-bq4zw,2021-06-30T11:30:04Z,2021-06-30T11:32:11Z,127,230.0,230.0
script_opt_3_overlap_cost_50,sqlflow-6m5xx,2021-06-30T11:34:43Z,2021-06-30T11:35:16Z,33,43.0,43.0
script_opt_3_overlap_cost_50,sqlflow-xjzd8,2021-06-30T11:29:57Z,2021-06-30T11:30:07Z,10,2.0,2.0
script_base_0_overlap_cost_150,sqlflow-49qkx,2021-06-30T14:59:10Z,2021-06-30T15:02:08Z,178,330.0,330.0
script_base_0_overlap_cost_150,sqlflow-tssq5,2021-06-30T15:05:44Z,2021-06-30T15:13:29Z,465,906.0,906.0
script_base_0_overlap_cost_150,sqlflow-hdtkh,2021-06-30T14:59:04Z,2021-06-30T14:59:14Z,10,3.0,3.0
script_base_0_overlap_cost_150,sqlflow-tclpd,2021-06-30T15:13:22Z,2021-06-30T15:13:58Z,36,44.0,44.0
script_base_0_overlap_cost_150,sqlflow-cckxv,2021-06-30T15:02:03Z,2021-06-30T15:05:26Z,203,375.0,375.0
script_base_0_overlap_cost_150,sqlflow-lqnj8,2021-06-30T14:58:55Z,2021-06-30T14:59:05Z,10,6.0,6.0
script_base_0_overlap_cost_150,sqlflow-kr6lz,2021-06-30T15:05:19Z,2021-06-30T15:05:52Z,33,43.0,43.0
script_opt_6_order_cost_150,sqlflow-5xh88,2021-06-30T20:45:24Z,2021-06-30T20:45:34Z,10,1.0,1.0
script_opt_6_order_cost_150,sqlflow-nkxc2,2021-06-30T20:59:55Z,2021-06-30T21:00:38Z,43,65.0,65.0
script_opt_6_order_cost_150,sqlflow-q45sg,2021-06-30T20:45:33Z,2021-06-30T20:45:43Z,10,1.0,1.0
script_opt_6_order_cost_150,sqlflow-2zssp,2021-06-30T20:57:15Z,2021-06-30T20:58:33Z,78,128.0,128.0
script_opt_6_order_cost_150,sqlflow-mfqx4,2021-06-30T20:52:06Z,2021-06-30T20:57:19Z,313,602.0,602.0
script_opt_6_order_cost_150,sqlflow-gr5tf,2021-06-30T20:58:27Z,2021-06-30T21:00:01Z,94,165.0,165.0
script_opt_6_order_cost_150,sqlflow-ncpqw,2021-06-30T20:45:37Z,2021-06-30T20:52:11Z,394,767.0,767.0
script_base_9_overlap_cost_100,sqlflow-dflfs,2021-06-30T19:28:02Z,2021-06-30T19:30:59Z,177,321.0,321.0
script_base_9_overlap_cost_100,sqlflow-f2npp,2021-06-30T19:35:23Z,2021-06-30T19:35:59Z,36,44.0,44.0
script_base_9_overlap_cost_100,sqlflow-g6kpp,2021-06-30T19:24:49Z,2021-06-30T19:28:09Z,200,375.0,375.0
script_base_9_overlap_cost_100,sqlflow-q5vm9,2021-06-30T19:31:18Z,2021-06-30T19:35:30Z,252,481.0,481.0
script_base_9_overlap_cost_100,sqlflow-f8fpt,2021-06-30T19:24:31Z,2021-06-30T19:24:41Z,10,5.0,5.0
script_base_9_overlap_cost_100,sqlflow-2dmqt,2021-06-30T19:24:44Z,2021-06-30T19:24:54Z,10,2.0,2.0
script_base_9_overlap_cost_100,sqlflow-2hxkm,2021-06-30T19:30:51Z,2021-06-30T19:31:24Z,33,42.0,42.0
script_base_3_overlap_cost_50,sqlflow-ph7mn,2021-06-30T10:35:56Z,2021-06-30T10:38:45Z,169,317.0,317.0
script_base_3_overlap_cost_50,sqlflow-cvndd,2021-06-30T10:35:35Z,2021-06-30T10:35:46Z,11,2.0,2.0
script_base_3_overlap_cost_50,sqlflow-tk76d,2021-06-30T10:38:39Z,2021-06-30T10:40:48Z,129,232.0,232.0
script_base_3_overlap_cost_50,sqlflow-qbsxb,2021-06-30T10:40:41Z,2021-06-30T10:41:14Z,33,42.0,42.0
script_base_3_overlap_cost_50,sqlflow-sdfjv,2021-06-30T10:35:45Z,2021-06-30T10:35:55Z,10,6.0,6.0
script_opt_4_overlap_cost_100,sqlflow-k2mjt,2021-06-30T14:32:31Z,2021-06-30T14:32:41Z,10,2.0,2.0
script_opt_4_overlap_cost_100,sqlflow-rjtsv,2021-06-30T14:32:35Z,2021-06-30T14:38:54Z,379,736.0,736.0
script_opt_4_overlap_cost_100,sqlflow-hnd2h,2021-06-30T14:38:50Z,2021-06-30T14:41:36Z,166,310.0,310.0
script_opt_4_overlap_cost_100,sqlflow-dvpxx,2021-06-30T14:41:29Z,2021-06-30T14:42:05Z,36,43.0,43.0
script_opt_4_overlap_cost_100,sqlflow-n2l4v,2021-06-30T14:32:25Z,2021-06-30T14:32:35Z,10,1.0,1.0
script_base_10_overlap_cost_100,sqlflow-stp22,2021-06-30T18:00:00Z,2021-06-30T18:00:37Z,37,50.0,50.0
script_base_10_overlap_cost_100,sqlflow-pthmg,2021-06-30T17:54:54Z,2021-06-30T17:57:46Z,172,320.0,320.0
script_base_10_overlap_cost_100,sqlflow-mg4l5,2021-06-30T18:00:30Z,2021-06-30T18:04:35Z,245,465.0,465.0
script_base_10_overlap_cost_100,sqlflow-8kc5z,2021-06-30T17:54:50Z,2021-06-30T17:55:00Z,10,2.0,2.0
script_base_10_overlap_cost_100,sqlflow-qw87n,2021-06-30T17:57:39Z,2021-06-30T18:00:08Z,149,268.0,268.0
