experiment,workflow,startedAt,finishedAt,duration,resourcesDuration_cpu,resourcesDuration_memory
script_base_4_accuracy_80,sqlflow-qmk65,2021-06-23T21:28:00Z,2021-06-23T21:28:36Z,36,49.0,49.0
script_base_4_accuracy_80,sqlflow-r79ql,2021-06-23T21:30:44Z,2021-06-23T21:32:22Z,98,171.0,171.0
script_base_4_accuracy_80,sqlflow-lmltp,2021-06-23T21:23:15Z,2021-06-23T21:25:34Z,139,255.0,255.0
script_base_4_accuracy_80,sqlflow-zxbs6,2021-06-23T21:32:15Z,2021-06-23T21:33:06Z,51,80.0,80.0
script_base_4_accuracy_80,sqlflow-kj625,2021-06-23T21:25:27Z,2021-06-23T21:26:35Z,68,113.0,113.0
script_base_4_accuracy_80,sqlflow-tt2n7,2021-06-23T21:26:30Z,2021-06-23T21:27:07Z,37,53.0,53.0
script_base_4_accuracy_80,sqlflow-6h5l4,2021-06-23T21:28:29Z,2021-06-23T21:30:03Z,94,162.0,162.0
script_base_4_accuracy_80,sqlflow-tqm5c,2021-06-23T21:27:01Z,2021-06-23T21:28:06Z,65,105.0,105.0
script_base_4_accuracy_80,sqlflow-tq84d,2021-06-23T21:23:03Z,2021-06-23T21:23:13Z,10,2.0,2.0
script_base_4_accuracy_80,sqlflow-z7tgw,2021-06-23T21:23:09Z,2021-06-23T21:23:19Z,10,2.0,2.0
script_base_4_accuracy_80,sqlflow-bt5qq,2021-06-23T21:29:56Z,2021-06-23T21:30:51Z,55,86.0,86.0
script_base_6_accuracy_80,sqlflow-vqksr,2021-06-23T21:38:56Z,2021-06-23T21:39:06Z,10,1.0,1.0
script_base_6_accuracy_80,sqlflow-6ph5h,2021-06-23T21:41:27Z,2021-06-23T21:42:26Z,59,94.0,94.0
script_base_6_accuracy_80,sqlflow-wqch5,2021-06-23T21:38:50Z,2021-06-23T21:39:00Z,10,2.0,2.0
script_base_6_accuracy_80,sqlflow-h5gqc,2021-06-23T21:42:19Z,2021-06-23T21:43:02Z,43,63.0,63.0
script_base_6_accuracy_80,sqlflow-6rch9,2021-06-23T21:39:02Z,2021-06-23T21:41:32Z,150,276.0,276.0
script_opt_6_order_accuracy_80,sqlflow-cd5sj,2021-06-24T09:54:34Z,2021-06-24T09:55:34Z,60,94.0,94.0
script_opt_6_order_accuracy_80,sqlflow-q68lq,2021-06-24T09:51:58Z,2021-06-24T09:54:41Z,163,275.0,275.0
script_opt_6_order_accuracy_80,sqlflow-jsfs6,2021-06-24T09:51:44Z,2021-06-24T09:51:55Z,11,2.0,2.0
script_opt_6_order_accuracy_80,sqlflow-s2d6p,2021-06-24T09:55:26Z,2021-06-24T09:56:10Z,44,64.0,64.0
