experiment,workflow,startedAt,finishedAt,duration,resourcesDuration_cpu,resourcesDuration_memory
script_yolov3_tiny,sqlflow-gkg4n,2021-06-27T20:09:16Z,2021-06-27T20:09:26Z,10,6.0,6.0
script_yolov3_tiny,sqlflow-ggjhj,2021-06-27T20:09:27Z,2021-06-27T20:10:47Z,80,132.0,132.0
script_yolov3_tiny,sqlflow-rxxp6,2021-06-27T20:09:10Z,2021-06-27T20:09:20Z,10,1.0,1.0
script_yolov5x,sqlflow-zg762,2021-06-28T12:58:44Z,2021-06-28T12:58:54Z,10,2.0,2.0
script_yolov5x,sqlflow-pjhm6,2021-06-27T20:11:03Z,2021-06-27T20:13:47Z,164,298.0,298.0
script_yolov5x,sqlflow-tksxk,2021-06-28T12:58:49Z,2021-06-28T12:58:59Z,10,1.0,1.0
script_yolov5x,sqlflow-vs89b,2021-06-28T12:58:54Z,2021-06-28T13:01:32Z,158,293.0,293.0
script_yolov5x,sqlflow-ft78l,2021-06-27T20:10:58Z,2021-06-27T20:11:08Z,10,1.0,1.0
script_yolov5x,sqlflow-wnbrg,2021-06-27T20:10:52Z,2021-06-27T20:11:02Z,10,1.0,1.0
script_yolov5m,sqlflow-wmgmv,2021-06-27T22:01:25Z,2021-06-27T22:03:26Z,121,214.0,214.0
script_yolov5m,sqlflow-d46w8,2021-06-28T12:51:19Z,2021-06-28T12:51:29Z,10,1.0,1.0
script_yolov5m,sqlflow-dgv6x,2021-06-27T22:01:12Z,2021-06-27T22:01:22Z,10,5.0,5.0
script_yolov5m,sqlflow-bfpz7,2021-06-28T12:51:23Z,2021-06-28T12:53:23Z,120,214.0,214.0
script_yolov5m,sqlflow-s984d,2021-06-28T12:51:14Z,2021-06-28T12:51:24Z,10,1.0,1.0
script_yolov5m,sqlflow-k4fcp,2021-06-27T22:01:21Z,2021-06-27T22:01:31Z,10,1.0,1.0
script_yolov5x6,sqlflow-2v4zx,2021-06-28T13:01:45Z,2021-06-28T13:05:00Z,195,365.0,365.0
script_yolov5x6,sqlflow-sb28p,2021-06-27T20:13:51Z,2021-06-27T20:14:01Z,10,2.0,2.0
script_yolov5x6,sqlflow-5xt6v,2021-06-27T20:13:55Z,2021-06-27T20:14:05Z,10,5.0,5.0
script_yolov5x6,sqlflow-jk4kz,2021-06-28T13:01:41Z,2021-06-28T13:01:51Z,10,1.0,1.0
script_yolov5x6,sqlflow-5vmhg,2021-06-28T13:01:36Z,2021-06-28T13:01:47Z,11,3.0,3.0
script_yolov5x6,sqlflow-vx55g,2021-06-27T20:14:04Z,2021-06-27T20:17:19Z,195,366.0,366.0
script_yolov3,sqlflow-tt94m,2021-06-28T12:48:55Z,2021-06-28T12:49:05Z,10,1.0,1.0
script_yolov3,sqlflow-mks29,2021-06-27T20:06:50Z,2021-06-27T20:07:00Z,10,1.0,1.0
script_yolov3,sqlflow-rtrzt,2021-06-27T20:06:42Z,2021-06-27T20:06:52Z,10,5.0,5.0
script_yolov3,sqlflow-whdxb,2021-06-28T12:49:00Z,2021-06-28T12:49:10Z,10,1.0,1.0
script_yolov3,sqlflow-ld5kh,2021-06-27T20:02:33Z,2021-06-27T20:04:41Z,128,232.0,232.0
script_yolov3,sqlflow-5jb7d,2021-06-27T20:06:55Z,2021-06-27T20:09:04Z,129,231.0,231.0
script_yolov3,sqlflow-k6t9p,2021-06-27T20:02:25Z,2021-06-27T20:02:35Z,10,5.0,5.0
script_yolov3,sqlflow-9hpj4,2021-06-28T12:49:06Z,2021-06-28T12:51:09Z,123,223.0,223.0
script_yolov3,sqlflow-69594,2021-06-27T20:02:20Z,2021-06-27T20:02:30Z,10,2.0,2.0
script_yolov5m6,sqlflow-qdvpj,2021-06-27T22:03:30Z,2021-06-27T22:03:40Z,10,5.0,5.0
script_yolov5m6,sqlflow-zhtb9,2021-06-28T12:53:27Z,2021-06-28T12:53:37Z,10,2.0,2.0
script_yolov5m6,sqlflow-vld6p,2021-06-28T12:53:30Z,2021-06-28T12:53:40Z,10,1.0,1.0
script_yolov5m6,sqlflow-krnx7,2021-06-28T12:53:35Z,2021-06-28T12:55:50Z,135,246.0,246.0
script_yolov5m6,sqlflow-qnkms,2021-06-27T22:03:51Z,2021-06-27T22:06:08Z,137,249.0,249.0
script_yolov5m6,sqlflow-4qdm2,2021-06-27T22:03:40Z,2021-06-27T22:03:50Z,10,5.0,5.0
