,query,#predicate,form,#&,#|,#(),ratio_&,ratio_|
0,(chair | car),2,DNF,0,1,1,0.0,1.0
1,(bottle | tv) & chair,3,CNF,1,1,1,0.5,0.5
2,(person | car) & (cup | bowl),4,CNF,1,2,2,0.3333,0.6667
3,(dining_table | couch) & (cup | bowl) & person,5,CNF,2,2,2,0.5,0.5
4,(tv | bowl) & (chair | person) & (car | cup),6,CNF,2,3,3,0.4,0.6
5,(person & car),2,CNF,1,0,1,1.0,0.0
6,(tv & bottle) | cup,3,DNF,1,1,1,0.5,0.5
7,(chair & dining_table) | (person & tv),4,DNF,2,1,2,0.6667,0.3333
8,bottle | (cup & bowl) | (person & chair),5,DNF,2,2,2,0.5,0.5
9,(bottle & person) | (bowl & car) | (tv & cup),6,DNF,3,2,3,0.6,0.4
