,query,#predicate,form,#&,#|,#(),ratio_&,ratio_|
0,(P928 & P1223),2,cnf,1,0,1,1.0,0.0
1,(P818 & P561),2,cnf,1,0,1,1.0,0.0
2,(P251 & P415) | (P205 & P1738),4,cnf,2,1,2,0.6667,0.3333
3,(P1003 & P835) | (P915 & P1524),4,cnf,2,1,2,0.6667,0.3333
4,(P651 & P392) | (P233 & P1637) | (P1199 & P1882) | (P1390 & P1720),8,cnf,4,3,4,0.5714,0.4286
5,(P1255 & P484) | (P1226 & P704) | (P1885 & P506) | (P447 & P321),8,cnf,4,3,4,0.5714,0.4286
6,(P892 & P1366) | (P123 & P151) | (P487 & P412) | (P1330 & P1023) | (P552 & P176) | (P294 & P1726) | (P1811 & P620) | (P569 & P396),16,cnf,8,7,8,0.5333,0.4667
7,(P1648 & P1465) | (P1672 & P884) | (P1561 & P571) | (P1554 & P1590) | (P1164 & P340) | (P1471 & P1486) | (P574 & P1880) | (P24 & P1569),16,cnf,8,7,8,0.5333,0.4667
8,(P1471 & P1679) | (P214 & P527) | (P1338 & P449) | (P443 & P170) | (P486 & P935) | (P1663 & P1127) | (P1413 & P508) | (P812 & P1729) | (P1112 & P144) | (P753 & P307) | (P758 & P558) | (P1697 & P1370) | (P1120 & P631) | (P489 & P297) | (P778 & P1691) | (P1771 & P899),32,cnf,16,15,16,0.5161,0.4839
9,(P1186 & P490) | (P307 & P1862) | (P273 & P1744) | (P460 & P1732) | (P786 & P1278) | (P775 & P1117) | (P535 & P127) | (P1635 & P1795) | (P1882 & P761) | (P1690 & P1128) | (P410 & P509) | (P1346 & P1274) | (P1659 & P1364) | (P1462 & P790) | (P904 & P1093) | (P241 & P944),32,cnf,16,15,16,0.5161,0.4839
10,(P1797 | P1267),2,dnf,1,0,1,1.0,0.0
11,(P1801 | P43),2,dnf,1,0,1,1.0,0.0
12,(P616 & P456) | (P476 & P124),4,dnf,2,1,2,0.6667,0.3333
13,(P931 & P1151) | (P1733 & P462),4,dnf,2,1,2,0.6667,0.3333
14,(P565 & P1028) | (P433 & P650) | (P1859 & P658) | (P1761 & P778),8,dnf,4,3,4,0.5714,0.4286
15,(P223 & P1301) | (P1909 & P363) | (P243 & P261) | (P1720 & P1122),8,dnf,4,3,4,0.5714,0.4286
16,(P1689 & P423) | (P172 & P169) | (P1367 & P107) | (P212 & P1779) | (P1329 & P133) | (P1260 & P787) | (P183 & P799) | (P814 & P1290),16,dnf,8,7,8,0.5333,0.4667
17,(P198 & P951) | (P654 & P195) | (P1804 & P1604) | (P1310 & P1822) | (P1543 & P282) | (P550 & P220) | (P793 & P872) | (P1255 & P1524),16,dnf,8,7,8,0.5333,0.4667
18,(P1799 & P1804) | (P1924 & P735) | (P689 & P341) | (P1543 & P1716) | (P1165 & P1020) | (P1689 & P1557) | (P1848 & P632) | (P225 & P1594) | (P1288 & P1106) | (P1431 & P1002) | (P1310 & P410) | (P137 & P686) | (P1638 & P1082) | (P466 & P987) | (P855 & P1119) | (P1434 & P787),32,dnf,16,15,16,0.5161,0.4839
19,(P664 & P803) | (P1810 & P1240) | (P1912 & P334) | (P419 & P1870) | (P1392 & P381) | (P1219 & P285) | (P592 & P561) | (P1462 & P27) | (P1051 & P1585) | (P352 & P909) | (P1844 & P825) | (P1497 & P1515) | (P423 & P1633) | (P878 & P519) | (P1702 & P1130) | (P1820 & P1848),32,dnf,16,15,16,0.5161,0.4839
